year,Israel (F),Israel (M)
1880,0.000000,0.000084
1881,0.000000,0.000119
1882,0.000000,0.000099
1883,0.000000,0.000083
1884,0.000000,0.000103
1885,0.000000,0.000091
1886,0.000000,0.000067
1887,0.000000,0.000061
1888,0.000000,0.000077
1889,0.000000,0.000069
1890,0.000000,0.000060
1891,0.000000,0.000063
1892,0.000000,0.000060
1893,0.000000,0.000043
1894,0.000000,0.000035
1895,0.000000,0.000043
1896,0.000000,0.000076
1897,0.000000,0.000032
1898,0.000000,0.000045
1899,0.000000,0.000035
1900,0.000000,0.000044
1901,0.000000,0.000040
1902,0.000000,0.000062
1903,0.000000,0.000037
1904,0.000000,0.000074
1905,0.000000,0.000045
1906,0.000000,0.000044
1907,0.000000,0.000041
1908,0.000000,0.000049
1909,0.000000,0.000053
1910,0.000000,0.000049
1911,0.000000,0.000062
1912,0.000000,0.000076
1913,0.000000,0.000102
1914,0.000000,0.000071
1915,0.000000,0.000075
1916,0.000000,0.000062
1917,0.000000,0.000071
1918,0.000000,0.000075
1919,0.000000,0.000061
1920,0.000000,0.000060
1921,0.000000,0.000061
1922,0.000000,0.000071
1923,0.000000,0.000051
1924,0.000000,0.000044
1925,0.000000,0.000044
1926,0.000000,0.000041
1927,0.000000,0.000043
1928,0.000000,0.000033
1929,0.000000,0.000036
1930,0.000000,0.000045
1931,0.000000,0.000035
1932,0.000000,0.000031
1933,0.000000,0.000037
1934,0.000000,0.000035
1935,0.000000,0.000038
1936,0.000000,0.000039
1937,0.000000,0.000033
1938,0.000000,0.000038
1939,0.000000,0.000034
1940,0.000000,0.000032
1941,0.000000,0.000034
1942,0.000000,0.000024
1943,0.000000,0.000032
1944,0.000000,0.000030
1945,0.000000,0.000031
1946,0.000000,0.000033
1947,0.000000,0.000031
1948,0.000000,0.000036
1949,0.000000,0.000042
1950,0.000000,0.000041
1951,0.000001,0.000046
1952,0.000000,0.000047
1953,0.000000,0.000048
1954,0.000000,0.000041
1955,0.000000,0.000047
1956,0.000000,0.000048
1957,0.000000,0.000043
1958,0.000000,0.000055
1959,0.000000,0.000052
1960,0.000000,0.000056
1961,0.000000,0.000056
1962,0.000000,0.000057
1963,0.000000,0.000056
1964,0.000000,0.000062
1965,0.000000,0.000072
1966,0.000000,0.000084
1967,0.000002,0.000080
1968,0.000000,0.000099
1969,0.000000,0.000103
1970,0.000000,0.000117
1971,0.000001,0.000137
1972,0.000002,0.000154
1973,0.000002,0.000157
1974,0.000000,0.000174
1975,0.000003,0.000175
1976,0.000002,0.000186
1977,0.000003,0.000198
1978,0.000003,0.000186
1979,0.000004,0.000207
1980,0.000005,0.000193
1981,0.000003,0.000172
1982,0.000002,0.000181
1983,0.000002,0.000170
1984,0.000003,0.000169
1985,0.000000,0.000168
1986,0.000000,0.000173
1987,0.000002,0.000170
1988,0.000003,0.000177
1989,0.000000,0.000197
1990,0.000004,0.000201
1991,0.000005,0.000218
1992,0.000009,0.000235
1993,0.000005,0.000242
1994,0.000009,0.000258
1995,0.000009,0.000266
1996,0.000007,0.000292
1997,0.000006,0.000322
1998,0.000013,0.000348
1999,0.000010,0.000344
2000,0.000010,0.000366
2001,0.000010,0.000358
2002,0.000008,0.000347
2003,0.000008,0.000360
2004,0.000008,0.000428
2005,0.000010,0.000431
2006,0.000008,0.000487
2007,0.000015,0.000484
2008,0.000012,0.000466
2009,0.000009,0.000466
2010,0.000011,0.000440
2011,0.000010,0.000441
2012,0.000009,0.000396
2013,0.000012,0.000404
