year,Inge
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,7
1925,5
1926,7
1927,6
1928,15
1929,14
1930,15
1931,18
1932,10
1933,12
1934,17
1935,0
1936,6
1937,5
1938,11
1939,13
1940,0
1941,10
1942,0
1943,0
1944,0
1945,0
1946,8
1947,8
1948,0
1949,5
1950,10
1951,8
1952,8
1953,6
1954,10
1955,12
1956,14
1957,20
1958,16
1959,25
1960,22
1961,29
1962,15
1963,16
1964,28
1965,22
1966,21
1967,30
1968,15
1969,18
1970,17
1971,12
1972,14
1973,9
1974,10
1975,10
1976,8
1977,6
1978,8
1979,8
1980,0
1981,10
1982,8
1983,6
1984,0
1985,9
1986,5
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
