year,Issac (F),Issac (M)
1880,0.000000,0.000079
1881,0.000000,0.000088
1882,0.000000,0.000050
1883,0.000000,0.000060
1884,0.000000,0.000066
1885,0.000000,0.000071
1886,0.000000,0.000055
1887,0.000000,0.000044
1888,0.000000,0.000047
1889,0.000000,0.000028
1890,0.000000,0.000036
1891,0.000000,0.000028
1892,0.000000,0.000039
1893,0.000000,0.000043
1894,0.000000,0.000032
1895,0.000000,0.000031
1896,0.000000,0.000028
1897,0.000000,0.000017
1898,0.000000,0.000018
1899,0.000000,0.000024
1900,0.000000,0.000024
1901,0.000000,0.000020
1902,0.000000,0.000041
1903,0.000000,0.000034
1904,0.000000,0.000047
1905,0.000000,0.000019
1906,0.000000,0.000033
1907,0.000000,0.000017
1908,0.000000,0.000014
1909,0.000000,0.000012
1910,0.000000,0.000034
1911,0.000000,0.000039
1912,0.000000,0.000033
1913,0.000000,0.000014
1914,0.000000,0.000025
1915,0.000000,0.000023
1916,0.000000,0.000025
1917,0.000000,0.000014
1918,0.000000,0.000029
1919,0.000000,0.000028
1920,0.000000,0.000029
1921,0.000000,0.000025
1922,0.000000,0.000024
1923,0.000000,0.000022
1924,0.000000,0.000025
1925,0.000000,0.000016
1926,0.000000,0.000021
1927,0.000000,0.000025
1928,0.000000,0.000027
1929,0.000000,0.000028
1930,0.000000,0.000020
1931,0.000000,0.000019
1932,0.000000,0.000030
1933,0.000000,0.000025
1934,0.000000,0.000023
1935,0.000000,0.000024
1936,0.000000,0.000023
1937,0.000000,0.000024
1938,0.000000,0.000025
1939,0.000000,0.000023
1940,0.000000,0.000013
1941,0.000000,0.000021
1942,0.000000,0.000018
1943,0.000000,0.000019
1944,0.000000,0.000022
1945,0.000000,0.000023
1946,0.000000,0.000016
1947,0.000000,0.000018
1948,0.000000,0.000022
1949,0.000000,0.000019
1950,0.000000,0.000020
1951,0.000000,0.000017
1952,0.000000,0.000017
1953,0.000000,0.000023
1954,0.000000,0.000019
1955,0.000000,0.000019
1956,0.000000,0.000017
1957,0.000000,0.000016
1958,0.000000,0.000021
1959,0.000000,0.000015
1960,0.000000,0.000015
1961,0.000000,0.000017
1962,0.000000,0.000015
1963,0.000000,0.000017
1964,0.000000,0.000016
1965,0.000000,0.000019
1966,0.000000,0.000014
1967,0.000000,0.000014
1968,0.000000,0.000017
1969,0.000000,0.000018
1970,0.000000,0.000022
1971,0.000000,0.000029
1972,0.000000,0.000046
1973,0.000000,0.000042
1974,0.000000,0.000047
1975,0.000000,0.000042
1976,0.000002,0.000048
1977,0.000000,0.000038
1978,0.000000,0.000048
1979,0.000000,0.000058
1980,0.000001,0.000060
1981,0.000000,0.000057
1982,0.000000,0.000056
1983,0.000002,0.000060
1984,0.000000,0.000045
1985,0.000000,0.000050
1986,0.000000,0.000049
1987,0.000000,0.000044
1988,0.000000,0.000047
1989,0.000000,0.000053
1990,0.000000,0.000070
1991,0.000000,0.000072
1992,0.000000,0.000066
1993,0.000000,0.000077
1994,0.000000,0.000083
1995,0.000000,0.000087
1996,0.000000,0.000105
1997,0.000000,0.000115
1998,0.000000,0.000126
1999,0.000000,0.000137
2000,0.000000,0.000138
2001,0.000000,0.000165
2002,0.000000,0.000164
2003,0.000000,0.000172
2004,0.000000,0.000175
2005,0.000000,0.000182
2006,0.000000,0.000182
2007,0.000000,0.000198
2008,0.000000,0.000208
2009,0.000000,0.000179
2010,0.000000,0.000170
2011,0.000000,0.000175
2012,0.000000,0.000170
