year,Ivory (F),Ivory (M)
1880,0.000000,0.000040
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000032
1884,0.000000,0.000049
1885,0.000000,0.000033
1886,0.000020,0.000000
1887,0.000028,0.000028
1888,0.000000,0.000027
1889,0.000017,0.000035
1890,0.000023,0.000043
1891,0.000024,0.000017
1892,0.000021,0.000027
1893,0.000028,0.000018
1894,0.000027,0.000024
1895,0.000037,0.000046
1896,0.000034,0.000028
1897,0.000037,0.000026
1898,0.000024,0.000000
1899,0.000032,0.000041
1900,0.000033,0.000056
1901,0.000058,0.000035
1902,0.000044,0.000049
1903,0.000031,0.000029
1904,0.000067,0.000045
1905,0.000047,0.000050
1906,0.000035,0.000058
1907,0.000041,0.000041
1908,0.000033,0.000039
1909,0.000045,0.000057
1910,0.000054,0.000046
1911,0.000056,0.000048
1912,0.000034,0.000030
1913,0.000028,0.000036
1914,0.000025,0.000034
1915,0.000025,0.000028
1916,0.000020,0.000038
1917,0.000021,0.000029
1918,0.000025,0.000036
1919,0.000027,0.000042
1920,0.000025,0.000035
1921,0.000017,0.000034
1922,0.000027,0.000033
1923,0.000024,0.000033
1924,0.000024,0.000039
1925,0.000022,0.000030
1926,0.000024,0.000029
1927,0.000030,0.000039
1928,0.000016,0.000043
1929,0.000019,0.000038
1930,0.000023,0.000031
1931,0.000020,0.000033
1932,0.000023,0.000037
1933,0.000019,0.000039
1934,0.000021,0.000037
1935,0.000024,0.000035
1936,0.000020,0.000034
1937,0.000020,0.000037
1938,0.000021,0.000038
1939,0.000021,0.000044
1940,0.000022,0.000035
1941,0.000016,0.000028
1942,0.000021,0.000035
1943,0.000019,0.000037
1944,0.000020,0.000040
1945,0.000021,0.000032
1946,0.000016,0.000029
1947,0.000016,0.000026
1948,0.000016,0.000037
1949,0.000015,0.000035
1950,0.000020,0.000051
1951,0.000015,0.000043
1952,0.000019,0.000043
1953,0.000010,0.000031
1954,0.000008,0.000042
1955,0.000013,0.000036
1956,0.000014,0.000036
1957,0.000014,0.000037
1958,0.000010,0.000038
1959,0.000011,0.000029
1960,0.000013,0.000032
1961,0.000011,0.000029
1962,0.000011,0.000025
1963,0.000010,0.000029
1964,0.000011,0.000023
1965,0.000007,0.000025
1966,0.000009,0.000021
1967,0.000005,0.000025
1968,0.000005,0.000016
1969,0.000012,0.000019
1970,0.000009,0.000024
1971,0.000010,0.000023
1972,0.000008,0.000018
1973,0.000012,0.000027
1974,0.000009,0.000020
1975,0.000010,0.000023
1976,0.000018,0.000015
1977,0.000014,0.000022
1978,0.000020,0.000020
1979,0.000025,0.000025
1980,0.000021,0.000022
1981,0.000019,0.000020
1982,0.000050,0.000023
1983,0.000050,0.000021
1984,0.000039,0.000017
1985,0.000038,0.000019
1986,0.000030,0.000020
1987,0.000032,0.000015
1988,0.000031,0.000018
1989,0.000027,0.000015
1990,0.000031,0.000015
1991,0.000030,0.000015
1992,0.000028,0.000013
1993,0.000035,0.000014
1994,0.000030,0.000013
1995,0.000025,0.000011
1996,0.000032,0.000013
1997,0.000026,0.000013
1998,0.000040,0.000011
1999,0.000038,0.000011
2000,0.000035,0.000010
2001,0.000039,0.000009
2002,0.000033,0.000008
2003,0.000038,0.000009
2004,0.000028,0.000009
2005,0.000038,0.000009
2006,0.000033,0.000008
2007,0.000032,0.000007
2008,0.000037,0.000005
2009,0.000031,0.000006
2010,0.000031,0.000008
2011,0.000041,0.000007
2012,0.000067,0.000010
2013,0.000082,0.000009
