year,Inez (F),Inez (M)
1880,0.000526,0.000000
1881,0.000493,0.000000
1882,0.000478,0.000000
1883,0.000650,0.000000
1884,0.000608,0.000000
1885,0.000623,0.000000
1886,0.000772,0.000000
1887,0.000728,0.000000
1888,0.000778,0.000000
1889,0.000959,0.000000
1890,0.000992,0.000000
1891,0.000917,0.000000
1892,0.001005,0.000000
1893,0.000999,0.000000
1894,0.001054,0.000000
1895,0.001148,0.000000
1896,0.001113,0.000000
1897,0.001127,0.000000
1898,0.001256,0.000000
1899,0.001271,0.000000
1900,0.001306,0.000000
1901,0.001327,0.000000
1902,0.001301,0.000000
1903,0.001272,0.000000
1904,0.001477,0.000000
1905,0.001418,0.000000
1906,0.001447,0.000012
1907,0.001461,0.000000
1908,0.001549,0.000000
1909,0.001616,0.000012
1910,0.001551,0.000008
1911,0.001434,0.000017
1912,0.001243,0.000006
1913,0.001227,0.000012
1914,0.001115,0.000006
1915,0.001094,0.000007
1916,0.001063,0.000004
1917,0.001022,0.000004
1918,0.000970,0.000004
1919,0.000987,0.000008
1920,0.000931,0.000011
1921,0.000891,0.000008
1922,0.000870,0.000013
1923,0.000804,0.000009
1924,0.000766,0.000012
1925,0.000810,0.000009
1926,0.000711,0.000010
1927,0.000686,0.000007
1928,0.000606,0.000009
1929,0.000573,0.000010
1930,0.000528,0.000008
1931,0.000528,0.000009
1932,0.000468,0.000008
1933,0.000445,0.000009
1934,0.000424,0.000005
1935,0.000385,0.000011
1936,0.000358,0.000006
1937,0.000349,0.000005
1938,0.000282,0.000011
1939,0.000275,0.000006
1940,0.000246,0.000005
1941,0.000217,0.000005
1942,0.000210,0.000003
1943,0.000169,0.000004
1944,0.000175,0.000003
1945,0.000150,0.000005
1946,0.000140,0.000003
1947,0.000128,0.000003
1948,0.000116,0.000005
1949,0.000117,0.000003
1950,0.000100,0.000002
1951,0.000104,0.000004
1952,0.000088,0.000003
1953,0.000084,0.000003
1954,0.000075,0.000002
1955,0.000077,0.000002
1956,0.000069,0.000002
1957,0.000073,0.000002
1958,0.000063,0.000002
1959,0.000058,0.000002
1960,0.000057,0.000001
1961,0.000055,0.000002
1962,0.000053,0.000001
1963,0.000053,0.000003
1964,0.000051,0.000002
1965,0.000047,0.000002
1966,0.000055,0.000000
1967,0.000043,0.000002
1968,0.000040,0.000004
1969,0.000039,0.000000
1970,0.000038,0.000002
1971,0.000043,0.000003
1972,0.000033,0.000002
1973,0.000031,0.000002
1974,0.000035,0.000002
1975,0.000036,0.000002
1976,0.000044,0.000003
1977,0.000039,0.000000
1978,0.000037,0.000002
1979,0.000032,0.000003
1980,0.000035,0.000002
1981,0.000027,0.000002
1982,0.000030,0.000001
1983,0.000023,0.000002
1984,0.000024,0.000000
1985,0.000023,0.000001
1986,0.000019,0.000003
1987,0.000018,0.000002
1988,0.000018,0.000002
1989,0.000018,0.000001
1990,0.000022,0.000000
1991,0.000020,0.000002
1992,0.000014,0.000002
1993,0.000019,0.000000
1994,0.000015,0.000000
1995,0.000015,0.000002
1996,0.000017,0.000000
1997,0.000017,0.000000
1998,0.000020,0.000000
1999,0.000018,0.000001
2000,0.000018,0.000000
2001,0.000020,0.000000
2002,0.000018,0.000001
2003,0.000016,0.000000
2004,0.000015,0.000000
2005,0.000014,0.000002
2006,0.000013,0.000000
2007,0.000016,0.000002
2008,0.000015,0.000000
2009,0.000014,0.000000
2010,0.000012,0.000000
2011,0.000015,0.000000
2012,0.000019,0.000000
2013,0.000020,0.000000
2014,0.000016,0.000002
2015,0.000017,0.000001
2016,0.000024,0.000000
2017,0.000023,0.000002
2018,0.000022,0.000000
2019,0.000021,0.000000
2020,0.000027,0.000000
