year,Isaac (F),Isaac (M)
1880,0.000000,0.001360
1881,0.000000,0.001339
1882,0.000000,0.001255
1883,0.000000,0.001046
1884,0.000000,0.000998
1885,0.000000,0.000847
1886,0.000000,0.000877
1887,0.000000,0.000784
1888,0.000000,0.000738
1889,0.000000,0.000651
1890,0.000000,0.000620
1891,0.000000,0.000558
1892,0.000000,0.000607
1893,0.000000,0.000560
1894,0.000000,0.000502
1895,0.000000,0.000490
1896,0.000000,0.000534
1897,0.000000,0.000504
1898,0.000000,0.000409
1899,0.000000,0.000410
1900,0.000000,0.000440
1901,0.000000,0.000385
1902,0.000000,0.000370
1903,0.000000,0.000362
1904,0.000000,0.000414
1905,0.000000,0.000347
1906,0.000000,0.000380
1907,0.000000,0.000382
1908,0.000000,0.000332
1909,0.000000,0.000409
1910,0.000000,0.000427
1911,0.000000,0.000362
1912,0.000000,0.000363
1913,0.000000,0.000350
1914,0.000000,0.000350
1915,0.000000,0.000310
1916,0.000000,0.000325
1917,0.000000,0.000310
1918,0.000000,0.000303
1919,0.000003,0.000349
1920,0.000000,0.000313
1921,0.000000,0.000276
1922,0.000000,0.000315
1923,0.000000,0.000303
1924,0.000000,0.000296
1925,0.000003,0.000291
1926,0.000003,0.000256
1927,0.000000,0.000298
1928,0.000002,0.000236
1929,0.000000,0.000267
1930,0.000000,0.000247
1931,0.000000,0.000211
1932,0.000000,0.000233
1933,0.000003,0.000240
1934,0.000000,0.000232
1935,0.000002,0.000228
1936,0.000000,0.000204
1937,0.000002,0.000210
1938,0.000000,0.000209
1939,0.000002,0.000209
1940,0.000000,0.000212
1941,0.000000,0.000186
1942,0.000002,0.000164
1943,0.000000,0.000170
1944,0.000000,0.000183
1945,0.000002,0.000173
1946,0.000003,0.000161
1947,0.000001,0.000166
1948,0.000000,0.000154
1949,0.000000,0.000172
1950,0.000000,0.000160
1951,0.000002,0.000150
1952,0.000000,0.000149
1953,0.000000,0.000143
1954,0.000002,0.000146
1955,0.000000,0.000136
1956,0.000001,0.000134
1957,0.000001,0.000124
1958,0.000000,0.000130
1959,0.000002,0.000124
1960,0.000000,0.000113
1961,0.000000,0.000119
1962,0.000001,0.000120
1963,0.000000,0.000119
1964,0.000000,0.000128
1965,0.000000,0.000118
1966,0.000002,0.000124
1967,0.000002,0.000116
1968,0.000000,0.000127
1969,0.000002,0.000148
1970,0.000002,0.000158
1971,0.000002,0.000208
1972,0.000002,0.000257
1973,0.000000,0.000298
1974,0.000002,0.000309
1975,0.000004,0.000336
1976,0.000004,0.000359
1977,0.000004,0.000398
1978,0.000004,0.000458
1979,0.000004,0.000521
1980,0.000005,0.000521
1981,0.000003,0.000531
1982,0.000007,0.000526
1983,0.000004,0.000518
1984,0.000005,0.000485
1985,0.000003,0.000468
1986,0.000003,0.000488
1987,0.000005,0.000507
1988,0.000004,0.000531
1989,0.000002,0.000575
1990,0.000003,0.000614
1991,0.000003,0.000642
1992,0.000002,0.000722
1993,0.000003,0.000852
1994,0.000004,0.000939
1995,0.000003,0.001059
1996,0.000002,0.001251
1997,0.000003,0.001419
1998,0.000004,0.001593
1999,0.000005,0.001733
2000,0.000004,0.001967
2001,0.000004,0.002191
2002,0.000003,0.002222
2003,0.000004,0.002351
2004,0.000011,0.002403
2005,0.000005,0.002372
2006,0.000004,0.002447
2007,0.000003,0.002568
2008,0.000004,0.002552
2009,0.000003,0.002502
2010,0.000001,0.002534
2011,0.000002,0.002628
2012,0.000003,0.002751
