year,Imelda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,13
1899,8
1900,13
1901,15
1902,9
1903,8
1904,6
1905,12
1906,7
1907,7
1908,9
1909,19
1910,17
1911,32
1912,27
1913,35
1914,44
1915,55
1916,63
1917,66
1918,57
1919,61
1920,50
1921,61
1922,49
1923,60
1924,55
1925,54
1926,72
1927,64
1928,79
1929,53
1930,68
1931,50
1932,50
1933,48
1934,38
1935,41
1936,49
1937,32
1938,63
1939,37
1940,34
1941,40
1942,37
1943,32
1944,25
1945,34
1946,42
1947,61
1948,59
1949,48
1950,59
1951,57
1952,59
1953,65
1954,53
1955,76
1956,64
1957,86
1958,81
1959,66
1960,78
1961,78
1962,67
1963,80
1964,60
1965,77
1966,77
1967,76
1968,94
1969,99
1970,116
1971,140
1972,104
1973,130
1974,127
1975,137
1976,137
1977,138
1978,149
1979,105
1980,119
1981,120
1982,110
1983,91
1984,79
1985,70
1986,82
1987,74
1988,61
1989,90
1990,88
1991,88
1992,95
1993,75
1994,65
1995,89
1996,59
1997,69
1998,72
1999,48
2000,57
2001,68
2002,41
2003,55
2004,50
2005,55
2006,58
2007,49
2008,41
2009,35
2010,25
2011,23
2012,33
