year,Ione
1880,9
1881,10
1882,15
1883,19
1884,20
1885,20
1886,18
1887,24
1888,28
1889,26
1890,36
1891,55
1892,43
1893,38
1894,59
1895,53
1896,64
1897,65
1898,64
1899,61
1900,68
1901,78
1902,74
1903,63
1904,90
1905,89
1906,89
1907,105
1908,116
1909,109
1910,111
1911,142
1912,178
1913,204
1914,226
1915,326
1916,344
1917,360
1918,356
1919,314
1920,367
1921,335
1922,291
1923,303
1924,263
1925,238
1926,257
1927,210
1928,210
1929,203
1930,178
1931,172
1932,156
1933,144
1934,150
1935,152
1936,132
1937,122
1938,127
1939,85
1940,91
1941,95
1942,68
1943,70
1944,53
1945,49
1946,52
1947,52
1948,51
1949,45
1950,37
1951,57
1952,44
1953,28
1954,33
1955,43
1956,36
1957,36
1958,34
1959,22
1960,26
1961,23
1962,22
1963,23
1964,20
1965,12
1966,6
1967,10
1968,12
1969,8
1970,7
1971,7
1972,10
1973,0
1974,8
1975,7
1976,0
1977,0
1978,0
1979,5
1980,0
1981,5
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,15
1990,10
1991,0
1992,0
1993,9
1994,16
1995,7
1996,5
1997,6
1998,13
1999,11
2000,10
2001,0
2002,15
2003,11
2004,11
2005,16
2006,17
2007,16
2008,18
2009,19
2010,25
2011,26
2012,25
