year,Isidoro
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,8
1916,8
1917,9
1918,10
1919,5
1920,5
1921,7
1922,9
1923,20
1924,8
1925,14
1926,15
1927,16
1928,13
1929,24
1930,16
1931,7
1932,15
1933,12
1934,13
1935,13
1936,7
1937,16
1938,12
1939,12
1940,13
1941,17
1942,9
1943,5
1944,9
1945,5
1946,9
1947,18
1948,17
1949,10
1950,21
1951,17
1952,16
1953,0
1954,21
1955,14
1956,15
1957,13
1958,10
1959,14
1960,13
1961,15
1962,0
1963,16
1964,11
1965,8
1966,18
1967,11
1968,13
1969,13
1970,9
1971,15
1972,19
1973,12
1974,13
1975,15
1976,16
1977,18
1978,7
1979,19
1980,17
1981,22
1982,14
1983,15
1984,12
1985,19
1986,19
1987,11
1988,13
1989,9
1990,17
1991,12
1992,16
1993,24
1994,20
1995,15
1996,13
1997,15
1998,10
1999,14
2000,20
2001,14
2002,7
2003,14
2004,0
2005,8
2006,14
2007,16
2008,11
2009,7
2010,8
2011,7
2012,0
