year,Izetta
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,0
1887,0
1888,10
1889,7
1890,7
1891,11
1892,12
1893,6
1894,7
1895,15
1896,11
1897,15
1898,14
1899,15
1900,14
1901,12
1902,10
1903,16
1904,10
1905,14
1906,12
1907,16
1908,17
1909,10
1910,23
1911,22
1912,20
1913,21
1914,25
1915,37
1916,49
1917,33
1918,43
1919,40
1920,48
1921,47
1922,49
1923,50
1924,64
1925,35
1926,46
1927,25
1928,22
1929,26
1930,21
1931,22
1932,17
1933,18
1934,21
1935,15
1936,16
1937,19
1938,17
1939,19
1940,20
1941,14
1942,16
1943,30
1944,15
1945,12
1946,17
1947,12
1948,18
1949,14
1950,19
1951,10
1952,13
1953,15
1954,20
1955,9
1956,9
1957,11
1958,14
1959,13
1960,10
1961,12
1962,5
1963,13
1964,17
1965,0
1966,9
1967,6
1968,9
1969,0
1970,7
1971,6
1972,6
1973,7
1974,7
1975,7
1976,0
1977,6
1978,6
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
