year,Iantha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,7
1907,0
1908,5
1909,7
1910,6
1911,6
1912,6
1913,0
1914,11
1915,16
1916,9
1917,11
1918,12
1919,13
1920,13
1921,14
1922,14
1923,12
1924,14
1925,16
1926,10
1927,12
1928,9
1929,10
1930,8
1931,9
1932,8
1933,5
1934,13
1935,0
1936,0
1937,7
1938,5
1939,8
1940,0
1941,12
1942,6
1943,0
1944,7
1945,12
1946,10
1947,14
1948,6
1949,8
1950,8
1951,9
1952,5
1953,0
1954,14
1955,6
1956,15
1957,5
1958,11
1959,7
1960,9
1961,0
1962,9
1963,0
1964,0
1965,0
1966,0
1967,0
1968,7
1969,0
1970,5
1971,0
1972,0
1973,7
1974,0
1975,0
1976,0
1977,0
1978,5
1979,7
1980,0
1981,6
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
