year,Irvin (F),Irvin (M)
1880,0.000000,0.000427
1881,0.000000,0.000457
1882,0.000000,0.000298
1883,0.000000,0.000336
1884,0.000000,0.000353
1885,0.000000,0.000378
1886,0.000000,0.000278
1887,0.000000,0.000222
1888,0.000000,0.000260
1889,0.000000,0.000263
1890,0.000000,0.000272
1891,0.000000,0.000255
1892,0.000000,0.000254
1893,0.000000,0.000271
1894,0.000000,0.000266
1895,0.000000,0.000185
1896,0.000000,0.000221
1897,0.000000,0.000216
1898,0.000000,0.000207
1899,0.000000,0.000215
1900,0.000000,0.000262
1901,0.000000,0.000254
1902,0.000000,0.000235
1903,0.000000,0.000249
1904,0.000000,0.000265
1905,0.000000,0.000205
1906,0.000000,0.000205
1907,0.000000,0.000258
1908,0.000000,0.000213
1909,0.000000,0.000213
1910,0.000000,0.000232
1911,0.000000,0.000255
1912,0.000000,0.000348
1913,0.000000,0.000371
1914,0.000000,0.000347
1915,0.000000,0.000372
1916,0.000003,0.000374
1917,0.000000,0.000366
1918,0.000000,0.000368
1919,0.000000,0.000362
1920,0.000000,0.000343
1921,0.000005,0.000338
1922,0.000003,0.000314
1923,0.000004,0.000355
1924,0.000003,0.000320
1925,0.000000,0.000303
1926,0.000000,0.000294
1927,0.000000,0.000288
1928,0.000003,0.000304
1929,0.000000,0.000295
1930,0.000003,0.000269
1931,0.000000,0.000260
1932,0.000002,0.000245
1933,0.000000,0.000223
1934,0.000000,0.000227
1935,0.000000,0.000227
1936,0.000000,0.000213
1937,0.000000,0.000214
1938,0.000000,0.000187
1939,0.000000,0.000178
1940,0.000000,0.000178
1941,0.000000,0.000161
1942,0.000000,0.000163
1943,0.000000,0.000147
1944,0.000000,0.000142
1945,0.000000,0.000132
1946,0.000000,0.000114
1947,0.000000,0.000110
1948,0.000000,0.000104
1949,0.000000,0.000108
1950,0.000000,0.000106
1951,0.000002,0.000100
1952,0.000000,0.000103
1953,0.000000,0.000086
1954,0.000001,0.000088
1955,0.000000,0.000087
1956,0.000000,0.000086
1957,0.000000,0.000072
1958,0.000000,0.000067
1959,0.000000,0.000066
1960,0.000000,0.000072
1961,0.000000,0.000061
1962,0.000000,0.000065
1963,0.000000,0.000062
1964,0.000000,0.000053
1965,0.000000,0.000061
1966,0.000000,0.000046
1967,0.000000,0.000045
1968,0.000000,0.000047
1969,0.000000,0.000047
1970,0.000000,0.000044
1971,0.000000,0.000043
1972,0.000000,0.000037
1973,0.000000,0.000048
1974,0.000000,0.000040
1975,0.000000,0.000032
1976,0.000000,0.000032
1977,0.000000,0.000029
1978,0.000000,0.000034
1979,0.000000,0.000030
1980,0.000000,0.000031
1981,0.000000,0.000033
1982,0.000000,0.000021
1983,0.000000,0.000030
1984,0.000000,0.000025
1985,0.000000,0.000026
1986,0.000000,0.000024
1987,0.000000,0.000040
1988,0.000002,0.000089
1989,0.000000,0.000069
1990,0.000000,0.000068
1991,0.000000,0.000104
1992,0.000000,0.000092
1993,0.000000,0.000073
1994,0.000000,0.000070
1995,0.000000,0.000080
1996,0.000000,0.000080
1997,0.000000,0.000082
1998,0.000000,0.000075
1999,0.000000,0.000072
2000,0.000000,0.000072
2001,0.000000,0.000075
2002,0.000000,0.000079
2003,0.000000,0.000085
2004,0.000000,0.000080
2005,0.000000,0.000095
2006,0.000000,0.000086
2007,0.000000,0.000079
2008,0.000000,0.000081
2009,0.000000,0.000076
2010,0.000000,0.000059
2011,0.000000,0.000068
2012,0.000000,0.000053
2013,0.000000,0.000041
2014,0.000000,0.000038
2015,0.000000,0.000031
2016,0.000000,0.000029
2017,0.000000,0.000034
2018,0.000000,0.000036
2019,0.000000,0.000029
2020,0.000000,0.000025
