year,Irvine
1880,0
1881,0
1882,0
1883,6
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,6
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,6
1903,0
1904,0
1905,10
1906,6
1907,0
1908,5
1909,0
1910,5
1911,6
1912,13
1913,6
1914,26
1915,30
1916,17
1917,21
1918,24
1919,24
1920,31
1921,25
1922,30
1923,24
1924,21
1925,9
1926,21
1927,15
1928,20
1929,21
1930,8
1931,9
1932,16
1933,15
1934,17
1935,11
1936,14
1937,15
1938,10
1939,16
1940,13
1941,16
1942,15
1943,11
1944,11
1945,9
1946,12
1947,13
1948,8
1949,8
1950,5
1951,13
1952,12
1953,8
1954,11
1955,8
1956,5
1957,6
1958,0
1959,5
1960,6
1961,9
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,7
1984,0
1985,0
1986,0
1987,0
1988,10
1989,8
1990,6
1991,12
1992,10
1993,5
1994,6
1995,5
1996,6
1997,6
1998,5
1999,0
2000,6
2001,6
2002,0
2003,5
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
