year,Iain
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,6
1954,0
1955,0
1956,5
1957,5
1958,0
1959,0
1960,8
1961,10
1962,5
1963,7
1964,15
1965,14
1966,7
1967,8
1968,15
1969,22
1970,19
1971,12
1972,15
1973,9
1974,17
1975,15
1976,17
1977,20
1978,20
1979,16
1980,16
1981,22
1982,32
1983,35
1984,33
1985,29
1986,34
1987,49
1988,33
1989,37
1990,29
1991,46
1992,56
1993,44
1994,52
1995,63
1996,86
1997,76
1998,74
1999,92
2000,95
2001,98
2002,113
2003,126
2004,124
2005,106
2006,90
2007,85
2008,79
2009,95
2010,67
2011,69
2012,69
