year,Inell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,8
1906,7
1907,7
1908,9
1909,10
1910,13
1911,18
1912,14
1913,25
1914,33
1915,37
1916,34
1917,45
1918,50
1919,48
1920,53
1921,63
1922,52
1923,63
1924,74
1925,52
1926,58
1927,75
1928,40
1929,55
1930,63
1931,56
1932,56
1933,60
1934,41
1935,57
1936,48
1937,53
1938,45
1939,48
1940,36
1941,37
1942,40
1943,37
1944,30
1945,34
1946,34
1947,37
1948,33
1949,32
1950,32
1951,31
1952,22
1953,22
1954,25
1955,21
1956,16
1957,18
1958,22
1959,15
1960,14
1961,12
1962,12
1963,6
1964,7
1965,6
1966,5
1967,7
1968,6
1969,5
1970,7
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
