year,Icy
1880,5
1881,6
1882,10
1883,7
1884,14
1885,6
1886,6
1887,9
1888,11
1889,14
1890,8
1891,13
1892,12
1893,26
1894,20
1895,13
1896,17
1897,14
1898,24
1899,28
1900,16
1901,18
1902,23
1903,16
1904,17
1905,23
1906,16
1907,23
1908,12
1909,14
1910,11
1911,18
1912,12
1913,16
1914,26
1915,22
1916,18
1917,21
1918,24
1919,27
1920,21
1921,17
1922,28
1923,28
1924,21
1925,26
1926,10
1927,19
1928,28
1929,14
1930,15
1931,8
1932,16
1933,11
1934,19
1935,10
1936,10
1937,5
1938,11
1939,9
1940,11
1941,9
1942,5
1943,5
1944,5
1945,5
1946,9
1947,0
1948,6
1949,6
1950,0
1951,0
1952,0
1953,6
1954,6
1955,9
1956,8
1957,0
1958,6
1959,6
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,6
1986,0
1987,6
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
