year,Isiah (F),Isiah (M)
1880,0.000000,0.000099
1881,0.000000,0.000125
1882,0.000000,0.000126
1883,0.000000,0.000111
1884,0.000000,0.000099
1885,0.000000,0.000108
1886,0.000000,0.000086
1887,0.000000,0.000129
1888,0.000000,0.000117
1889,0.000000,0.000055
1890,0.000000,0.000106
1891,0.000000,0.000094
1892,0.000000,0.000111
1893,0.000000,0.000095
1894,0.000000,0.000127
1895,0.000000,0.000100
1896,0.000000,0.000087
1897,0.000000,0.000078
1898,0.000000,0.000076
1899,0.000000,0.000062
1900,0.000000,0.000098
1901,0.000000,0.000055
1902,0.000000,0.000072
1903,0.000000,0.000081
1904,0.000000,0.000069
1905,0.000000,0.000083
1906,0.000000,0.000068
1907,0.000000,0.000084
1908,0.000000,0.000080
1909,0.000000,0.000094
1910,0.000000,0.000095
1911,0.000000,0.000081
1912,0.000000,0.000080
1913,0.000000,0.000049
1914,0.000000,0.000071
1915,0.000000,0.000052
1916,0.000000,0.000042
1917,0.000000,0.000049
1918,0.000000,0.000060
1919,0.000000,0.000068
1920,0.000000,0.000054
1921,0.000000,0.000051
1922,0.000000,0.000060
1923,0.000000,0.000061
1924,0.000000,0.000058
1925,0.000000,0.000056
1926,0.000000,0.000056
1927,0.000000,0.000047
1928,0.000000,0.000054
1929,0.000000,0.000056
1930,0.000000,0.000047
1931,0.000000,0.000051
1932,0.000000,0.000050
1933,0.000000,0.000048
1934,0.000000,0.000038
1935,0.000000,0.000042
1936,0.000000,0.000048
1937,0.000000,0.000040
1938,0.000000,0.000043
1939,0.000000,0.000046
1940,0.000000,0.000036
1941,0.000000,0.000041
1942,0.000000,0.000036
1943,0.000000,0.000037
1944,0.000000,0.000044
1945,0.000000,0.000032
1946,0.000000,0.000037
1947,0.000000,0.000032
1948,0.000000,0.000036
1949,0.000000,0.000033
1950,0.000000,0.000028
1951,0.000000,0.000028
1952,0.000000,0.000029
1953,0.000000,0.000025
1954,0.000000,0.000025
1955,0.000000,0.000027
1956,0.000000,0.000021
1957,0.000000,0.000024
1958,0.000000,0.000025
1959,0.000000,0.000025
1960,0.000000,0.000015
1961,0.000000,0.000019
1962,0.000000,0.000018
1963,0.000000,0.000016
1964,0.000000,0.000023
1965,0.000000,0.000014
1966,0.000000,0.000020
1967,0.000000,0.000023
1968,0.000000,0.000019
1969,0.000000,0.000016
1970,0.000000,0.000012
1971,0.000000,0.000014
1972,0.000000,0.000017
1973,0.000000,0.000018
1974,0.000000,0.000017
1975,0.000000,0.000020
1976,0.000000,0.000019
1977,0.000000,0.000018
1978,0.000000,0.000019
1979,0.000000,0.000018
1980,0.000000,0.000019
1981,0.000000,0.000028
1982,0.000000,0.000033
1983,0.000000,0.000030
1984,0.000000,0.000034
1985,0.000000,0.000036
1986,0.000000,0.000030
1987,0.000000,0.000057
1988,0.000000,0.000082
1989,0.000000,0.000106
1990,0.000000,0.000129
1991,0.000000,0.000115
1992,0.000000,0.000102
1993,0.000000,0.000086
1994,0.000000,0.000097
1995,0.000000,0.000133
1996,0.000002,0.000181
1997,0.000000,0.000204
1998,0.000000,0.000209
1999,0.000000,0.000212
2000,0.000000,0.000211
2001,0.000000,0.000220
2002,0.000000,0.000200
2003,0.000001,0.000193
2004,0.000000,0.000186
2005,0.000000,0.000193
2006,0.000000,0.000184
2007,0.000000,0.000157
2008,0.000000,0.000162
2009,0.000000,0.000130
2010,0.000000,0.000114
2011,0.000000,0.000099
2012,0.000000,0.000080
2013,0.000000,0.000072
