year,Isidro (F),Isidro (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000000
1912,0.000000,0.000009
1913,0.000000,0.000006
1914,0.000000,0.000012
1915,0.000000,0.000009
1916,0.000000,0.000009
1917,0.000000,0.000010
1918,0.000000,0.000011
1919,0.000000,0.000007
1920,0.000000,0.000011
1921,0.000000,0.000010
1922,0.000000,0.000013
1923,0.000000,0.000014
1924,0.000000,0.000016
1925,0.000000,0.000013
1926,0.000000,0.000020
1927,0.000000,0.000020
1928,0.000000,0.000015
1929,0.000000,0.000016
1930,0.000000,0.000019
1931,0.000000,0.000012
1932,0.000000,0.000017
1933,0.000000,0.000018
1934,0.000000,0.000014
1935,0.000000,0.000012
1936,0.000000,0.000017
1937,0.000000,0.000014
1938,0.000000,0.000015
1939,0.000000,0.000019
1940,0.000000,0.000021
1941,0.000000,0.000015
1942,0.000000,0.000019
1943,0.000000,0.000014
1944,0.000000,0.000017
1945,0.000000,0.000018
1946,0.000000,0.000015
1947,0.000000,0.000010
1948,0.000000,0.000020
1949,0.000000,0.000014
1950,0.000000,0.000018
1951,0.000000,0.000013
1952,0.000000,0.000015
1953,0.000000,0.000010
1954,0.000000,0.000013
1955,0.000000,0.000013
1956,0.000000,0.000011
1957,0.000000,0.000013
1958,0.000000,0.000011
1959,0.000000,0.000015
1960,0.000000,0.000013
1961,0.000000,0.000011
1962,0.000000,0.000016
1963,0.000000,0.000015
1964,0.000000,0.000018
1965,0.000000,0.000015
1966,0.000000,0.000014
1967,0.000000,0.000015
1968,0.000000,0.000015
1969,0.000000,0.000016
1970,0.000000,0.000020
1971,0.000000,0.000016
1972,0.000000,0.000020
1973,0.000000,0.000023
1974,0.000000,0.000025
1975,0.000000,0.000023
1976,0.000000,0.000027
1977,0.000000,0.000022
1978,0.000000,0.000026
1979,0.000000,0.000030
1980,0.000000,0.000027
1981,0.000000,0.000034
1982,0.000000,0.000029
1983,0.000000,0.000026
1984,0.000000,0.000035
1985,0.000000,0.000033
1986,0.000000,0.000031
1987,0.000000,0.000032
1988,0.000000,0.000031
1989,0.000000,0.000035
1990,0.000000,0.000032
1991,0.000000,0.000036
1992,0.000000,0.000034
1993,0.000000,0.000036
1994,0.000000,0.000039
1995,0.000000,0.000034
1996,0.000000,0.000034
1997,0.000000,0.000040
1998,0.000000,0.000039
1999,0.000000,0.000037
2000,0.000000,0.000042
2001,0.000000,0.000040
2002,0.000000,0.000037
2003,0.000000,0.000039
2004,0.000000,0.000030
2005,0.000000,0.000034
2006,0.000000,0.000033
2007,0.000000,0.000036
2008,0.000000,0.000034
2009,0.000000,0.000030
2010,0.000000,0.000024
2011,0.000000,0.000026
2012,0.000000,0.000025
