year,Illa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,6
1903,0
1904,0
1905,9
1906,11
1907,8
1908,6
1909,11
1910,13
1911,16
1912,14
1913,22
1914,23
1915,44
1916,40
1917,32
1918,37
1919,40
1920,30
1921,44
1922,44
1923,31
1924,46
1925,47
1926,58
1927,57
1928,42
1929,51
1930,48
1931,43
1932,45
1933,46
1934,39
1935,45
1936,28
1937,31
1938,43
1939,34
1940,37
1941,27
1942,23
1943,26
1944,28
1945,17
1946,24
1947,24
1948,23
1949,18
1950,15
1951,20
1952,14
1953,12
1954,15
1955,11
1956,8
1957,8
1958,6
1959,9
1960,0
1961,5
1962,12
1963,9
1964,0
1965,5
1966,0
1967,0
1968,0
1969,9
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,7
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,7
2008,0
2009,5
2010,9
2011,7
2012,0
