year,Irena
1880,8
1881,0
1882,11
1883,8
1884,0
1885,7
1886,0
1887,9
1888,0
1889,7
1890,10
1891,12
1892,9
1893,10
1894,5
1895,0
1896,8
1897,9
1898,10
1899,11
1900,11
1901,11
1902,11
1903,9
1904,9
1905,11
1906,12
1907,6
1908,11
1909,13
1910,9
1911,7
1912,11
1913,12
1914,20
1915,18
1916,21
1917,25
1918,25
1919,33
1920,23
1921,9
1922,12
1923,12
1924,16
1925,14
1926,12
1927,13
1928,17
1929,18
1930,12
1931,9
1932,11
1933,8
1934,9
1935,13
1936,9
1937,12
1938,8
1939,5
1940,8
1941,6
1942,14
1943,7
1944,12
1945,6
1946,12
1947,9
1948,6
1949,11
1950,8
1951,14
1952,5
1953,16
1954,10
1955,17
1956,15
1957,13
1958,14
1959,14
1960,10
1961,13
1962,10
1963,12
1964,12
1965,17
1966,13
1967,18
1968,17
1969,15
1970,20
1971,20
1972,17
1973,20
1974,16
1975,22
1976,16
1977,14
1978,10
1979,17
1980,14
1981,10
1982,22
1983,23
1984,15
1985,16
1986,16
1987,22
1988,18
1989,11
1990,11
1991,20
1992,28
1993,25
1994,19
1995,20
1996,21
1997,24
1998,23
1999,21
2000,21
2001,16
2002,21
2003,18
2004,20
2005,21
2006,14
2007,16
2008,18
2009,18
2010,23
2011,27
2012,29
