year,Irwin (F),Irwin (M)
1880,0.000000,0.000109
1881,0.000000,0.000145
1882,0.000000,0.000090
1883,0.000000,0.000129
1884,0.000000,0.000140
1885,0.000000,0.000050
1886,0.000000,0.000070
1887,0.000000,0.000085
1888,0.000000,0.000060
1889,0.000000,0.000076
1890,0.000000,0.000056
1891,0.000000,0.000049
1892,0.000000,0.000069
1893,0.000000,0.000061
1894,0.000000,0.000062
1895,0.000000,0.000111
1896,0.000000,0.000076
1897,0.000000,0.000095
1898,0.000000,0.000100
1899,0.000000,0.000077
1900,0.000000,0.000071
1901,0.000000,0.000069
1902,0.000000,0.000059
1903,0.000000,0.000063
1904,0.000000,0.000099
1905,0.000000,0.000071
1906,0.000000,0.000089
1907,0.000000,0.000064
1908,0.000000,0.000088
1909,0.000000,0.000104
1910,0.000000,0.000083
1911,0.000000,0.000087
1912,0.000000,0.000128
1913,0.000000,0.000110
1914,0.000000,0.000132
1915,0.000000,0.000142
1916,0.000000,0.000126
1917,0.000000,0.000127
1918,0.000002,0.000134
1919,0.000000,0.000146
1920,0.000000,0.000148
1921,0.000000,0.000141
1922,0.000000,0.000159
1923,0.000000,0.000175
1924,0.000000,0.000205
1925,0.000003,0.000226
1926,0.000000,0.000202
1927,0.000000,0.000223
1928,0.000000,0.000224
1929,0.000000,0.000228
1930,0.000000,0.000219
1931,0.000000,0.000222
1932,0.000000,0.000189
1933,0.000000,0.000184
1934,0.000000,0.000175
1935,0.000000,0.000182
1936,0.000000,0.000178
1937,0.000000,0.000136
1938,0.000000,0.000106
1939,0.000000,0.000111
1940,0.000000,0.000099
1941,0.000000,0.000085
1942,0.000000,0.000085
1943,0.000000,0.000066
1944,0.000000,0.000062
1945,0.000000,0.000070
1946,0.000000,0.000055
1947,0.000000,0.000050
1948,0.000000,0.000043
1949,0.000000,0.000040
1950,0.000000,0.000042
1951,0.000000,0.000039
1952,0.000000,0.000037
1953,0.000000,0.000029
1954,0.000000,0.000030
1955,0.000000,0.000026
1956,0.000000,0.000025
1957,0.000000,0.000024
1958,0.000000,0.000020
1959,0.000000,0.000020
1960,0.000000,0.000021
1961,0.000000,0.000021
1962,0.000000,0.000014
1963,0.000000,0.000017
1964,0.000000,0.000017
1965,0.000000,0.000016
1966,0.000000,0.000013
1967,0.000000,0.000010
1968,0.000000,0.000011
1969,0.000000,0.000012
1970,0.000000,0.000010
1971,0.000000,0.000009
1972,0.000000,0.000006
1973,0.000000,0.000009
1974,0.000000,0.000011
1975,0.000000,0.000010
1976,0.000000,0.000009
1977,0.000000,0.000007
1978,0.000000,0.000005
1979,0.000000,0.000008
1980,0.000000,0.000009
1981,0.000000,0.000009
1982,0.000000,0.000006
1983,0.000000,0.000007
1984,0.000000,0.000011
1985,0.000000,0.000008
1986,0.000000,0.000005
1987,0.000000,0.000006
1988,0.000000,0.000012
1989,0.000000,0.000013
1990,0.000000,0.000011
1991,0.000000,0.000016
1992,0.000000,0.000015
1993,0.000000,0.000012
1994,0.000000,0.000009
1995,0.000000,0.000010
1996,0.000000,0.000011
1997,0.000000,0.000009
1998,0.000000,0.000010
1999,0.000000,0.000010
2000,0.000000,0.000010
2001,0.000000,0.000010
2002,0.000000,0.000012
2003,0.000000,0.000009
2004,0.000000,0.000010
2005,0.000000,0.000008
2006,0.000000,0.000011
2007,0.000000,0.000012
2008,0.000000,0.000008
2009,0.000000,0.000005
2010,0.000000,0.000007
2011,0.000000,0.000007
2012,0.000000,0.000007
2013,0.000000,0.000002
