year,Ilona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,6
1911,5
1912,8
1913,6
1914,8
1915,9
1916,11
1917,16
1918,0
1919,8
1920,8
1921,10
1922,15
1923,9
1924,7
1925,8
1926,10
1927,19
1928,10
1929,10
1930,11
1931,11
1932,7
1933,5
1934,5
1935,8
1936,6
1937,12
1938,19
1939,29
1940,75
1941,58
1942,82
1943,83
1944,52
1945,56
1946,102
1947,101
1948,56
1949,73
1950,72
1951,68
1952,75
1953,63
1954,59
1955,43
1956,53
1957,52
1958,45
1959,40
1960,35
1961,51
1962,32
1963,50
1964,38
1965,34
1966,30
1967,43
1968,29
1969,32
1970,40
1971,29
1972,22
1973,32
1974,26
1975,28
1976,21
1977,17
1978,22
1979,22
1980,23
1981,22
1982,21
1983,16
1984,25
1985,16
1986,16
1987,14
1988,12
1989,9
1990,29
1991,15
1992,20
1993,20
1994,16
1995,22
1996,18
1997,24
1998,20
1999,25
2000,27
2001,21
2002,27
2003,23
2004,34
2005,37
2006,26
2007,33
2008,32
2009,22
2010,27
2011,24
2012,26
