year,Ira (F),Ira (M)
1880,0.000079,0.001236
1881,0.000042,0.001484
1882,0.000036,0.001101
1883,0.000083,0.001102
1884,0.000070,0.001166
1885,0.000058,0.000976
1886,0.000086,0.000775
1887,0.000089,0.000869
1888,0.000077,0.000741
1889,0.000083,0.000716
1890,0.000056,0.000693
1891,0.000080,0.000624
1892,0.000081,0.000691
1893,0.000080,0.000557
1894,0.000044,0.000608
1895,0.000066,0.000590
1896,0.000087,0.000531
1897,0.000101,0.000519
1898,0.000071,0.000511
1899,0.000091,0.000407
1900,0.000111,0.000484
1901,0.000084,0.000411
1902,0.000096,0.000403
1903,0.000089,0.000438
1904,0.000069,0.000357
1905,0.000101,0.000399
1906,0.000086,0.000352
1907,0.000060,0.000421
1908,0.000074,0.000401
1909,0.000072,0.000342
1910,0.000076,0.000394
1911,0.000075,0.000366
1912,0.000051,0.000399
1913,0.000055,0.000421
1914,0.000042,0.000427
1915,0.000041,0.000443
1916,0.000038,0.000424
1917,0.000042,0.000427
1918,0.000034,0.000397
1919,0.000038,0.000387
1920,0.000036,0.000366
1921,0.000038,0.000376
1922,0.000038,0.000346
1923,0.000043,0.000360
1924,0.000042,0.000350
1925,0.000040,0.000338
1926,0.000035,0.000341
1927,0.000041,0.000342
1928,0.000044,0.000322
1929,0.000034,0.000299
1930,0.000036,0.000316
1931,0.000030,0.000293
1932,0.000033,0.000313
1933,0.000042,0.000290
1934,0.000026,0.000275
1935,0.000034,0.000263
1936,0.000032,0.000241
1937,0.000029,0.000270
1938,0.000026,0.000250
1939,0.000024,0.000238
1940,0.000030,0.000271
1941,0.000021,0.000248
1942,0.000019,0.000278
1943,0.000023,0.000220
1944,0.000027,0.000228
1945,0.000026,0.000248
1946,0.000019,0.000244
1947,0.000023,0.000246
1948,0.000020,0.000239
1949,0.000019,0.000227
1950,0.000017,0.000226
1951,0.000019,0.000221
1952,0.000022,0.000200
1953,0.000012,0.000189
1954,0.000014,0.000178
1955,0.000013,0.000169
1956,0.000013,0.000170
1957,0.000014,0.000153
1958,0.000009,0.000146
1959,0.000009,0.000143
1960,0.000008,0.000144
1961,0.000012,0.000133
1962,0.000009,0.000124
1963,0.000009,0.000105
1964,0.000011,0.000108
1965,0.000007,0.000113
1966,0.000007,0.000115
1967,0.000006,0.000110
1968,0.000006,0.000099
1969,0.000009,0.000118
1970,0.000006,0.000097
1971,0.000007,0.000098
1972,0.000006,0.000110
1973,0.000011,0.000105
1974,0.000007,0.000091
1975,0.000005,0.000106
1976,0.000004,0.000087
1977,0.000004,0.000096
1978,0.000005,0.000097
1979,0.000005,0.000085
1980,0.000005,0.000082
1981,0.000005,0.000080
1982,0.000007,0.000073
1983,0.000003,0.000067
1984,0.000005,0.000061
1985,0.000003,0.000045
1986,0.000005,0.000055
1987,0.000002,0.000049
1988,0.000004,0.000040
1989,0.000003,0.000041
1990,0.000004,0.000038
1991,0.000003,0.000038
1992,0.000002,0.000034
1993,0.000003,0.000029
1994,0.000004,0.000029
1995,0.000002,0.000031
1996,0.000003,0.000034
1997,0.000002,0.000030
1998,0.000002,0.000026
1999,0.000000,0.000027
2000,0.000000,0.000027
2001,0.000003,0.000024
2002,0.000002,0.000037
2003,0.000003,0.000027
2004,0.000003,0.000028
2005,0.000003,0.000024
2006,0.000005,0.000025
2007,0.000004,0.000028
2008,0.000004,0.000025
2009,0.000007,0.000033
2010,0.000010,0.000035
2011,0.000012,0.000030
2012,0.000016,0.000041
2013,0.000022,0.000042
