year,Ike (F),Ike (M)
1880,0.000000,0.000208
1881,0.000000,0.000285
1882,0.000000,0.000302
1883,0.000000,0.000230
1884,0.000000,0.000312
1885,0.000000,0.000170
1886,0.000000,0.000188
1887,0.000000,0.000178
1888,0.000000,0.000177
1889,0.000000,0.000180
1890,0.000000,0.000159
1891,0.000000,0.000147
1892,0.000000,0.000153
1893,0.000000,0.000101
1894,0.000000,0.000121
1895,0.000000,0.000125
1896,0.000000,0.000151
1897,0.000000,0.000115
1898,0.000000,0.000123
1899,0.000000,0.000141
1900,0.000000,0.000144
1901,0.000000,0.000075
1902,0.000000,0.000106
1903,0.000000,0.000063
1904,0.000000,0.000136
1905,0.000000,0.000111
1906,0.000000,0.000061
1907,0.000000,0.000101
1908,0.000000,0.000080
1909,0.000000,0.000094
1910,0.000000,0.000083
1911,0.000000,0.000059
1912,0.000000,0.000051
1913,0.000000,0.000045
1914,0.000000,0.000052
1915,0.000000,0.000038
1916,0.000000,0.000047
1917,0.000000,0.000044
1918,0.000000,0.000035
1919,0.000000,0.000041
1920,0.000000,0.000038
1921,0.000000,0.000034
1922,0.000000,0.000031
1923,0.000000,0.000030
1924,0.000000,0.000032
1925,0.000000,0.000028
1926,0.000000,0.000028
1927,0.000000,0.000028
1928,0.000000,0.000027
1929,0.000000,0.000029
1930,0.000000,0.000027
1931,0.000000,0.000026
1932,0.000000,0.000021
1933,0.000000,0.000027
1934,0.000000,0.000024
1935,0.000000,0.000021
1936,0.000000,0.000020
1937,0.000000,0.000018
1938,0.000000,0.000018
1939,0.000000,0.000019
1940,0.000000,0.000017
1941,0.000000,0.000019
1942,0.000000,0.000017
1943,0.000000,0.000021
1944,0.000000,0.000016
1945,0.000000,0.000021
1946,0.000000,0.000018
1947,0.000000,0.000018
1948,0.000000,0.000018
1949,0.000000,0.000019
1950,0.000000,0.000015
1951,0.000000,0.000017
1952,0.000000,0.000024
1953,0.000000,0.000029
1954,0.000000,0.000019
1955,0.000000,0.000019
1956,0.000000,0.000017
1957,0.000000,0.000018
1958,0.000000,0.000014
1959,0.000000,0.000013
1960,0.000000,0.000012
1961,0.000000,0.000014
1962,0.000000,0.000009
1963,0.000000,0.000011
1964,0.000000,0.000009
1965,0.000000,0.000011
1966,0.000000,0.000012
1967,0.000000,0.000012
1968,0.000000,0.000010
1969,0.000000,0.000011
1970,0.000000,0.000009
1971,0.000000,0.000011
1972,0.000000,0.000013
1973,0.000000,0.000013
1974,0.000000,0.000014
1975,0.000000,0.000012
1976,0.000000,0.000007
1977,0.000000,0.000013
1978,0.000000,0.000014
1979,0.000000,0.000011
1980,0.000000,0.000009
1981,0.000000,0.000012
1982,0.000000,0.000010
1983,0.000000,0.000007
1984,0.000000,0.000008
1985,0.000000,0.000012
1986,0.000000,0.000010
1987,0.000000,0.000007
1988,0.000000,0.000009
1989,0.000000,0.000010
1990,0.000000,0.000006
1991,0.000000,0.000008
1992,0.000000,0.000007
1993,0.000000,0.000011
1994,0.000000,0.000010
1995,0.000000,0.000005
1996,0.000000,0.000005
1997,0.000000,0.000006
1998,0.000000,0.000007
1999,0.000000,0.000009
2000,0.000000,0.000008
2001,0.000000,0.000008
2002,0.000000,0.000008
2003,0.000000,0.000012
2004,0.000000,0.000010
2005,0.000000,0.000008
2006,0.000000,0.000013
2007,0.000000,0.000014
2008,0.000000,0.000019
2009,0.000000,0.000018
2010,0.000000,0.000016
2011,0.000000,0.000017
2012,0.000000,0.000016
2013,0.000000,0.000016
2014,0.000000,0.000024
2015,0.000000,0.000026
2016,0.000000,0.000015
2017,0.000000,0.000014
2018,0.000000,0.000020
2019,0.000000,0.000018
2020,0.000000,0.000021
