year,Ilah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,10
1893,7
1894,9
1895,10
1896,5
1897,7
1898,8
1899,12
1900,8
1901,13
1902,13
1903,10
1904,10
1905,12
1906,12
1907,18
1908,8
1909,15
1910,11
1911,8
1912,19
1913,27
1914,26
1915,38
1916,33
1917,44
1918,33
1919,34
1920,36
1921,42
1922,32
1923,46
1924,33
1925,33
1926,28
1927,41
1928,28
1929,32
1930,17
1931,20
1932,16
1933,15
1934,13
1935,17
1936,13
1937,14
1938,12
1939,12
1940,16
1941,11
1942,9
1943,10
1944,5
1945,8
1946,0
1947,5
1948,9
1949,0
1950,7
1951,5
1952,9
1953,9
1954,0
1955,0
1956,0
1957,0
1958,0
1959,6
1960,5
1961,0
1962,0
1963,0
1964,5
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,8
2001,11
2002,0
2003,0
2004,0
2005,9
2006,8
2007,14
2008,14
2009,21
2010,18
2011,26
2012,12
