year,Izora
1880,11
1881,5
1882,8
1883,5
1884,6
1885,10
1886,7
1887,7
1888,7
1889,15
1890,14
1891,10
1892,11
1893,10
1894,19
1895,11
1896,16
1897,18
1898,21
1899,16
1900,14
1901,12
1902,15
1903,11
1904,21
1905,7
1906,14
1907,18
1908,17
1909,18
1910,25
1911,11
1912,28
1913,17
1914,26
1915,37
1916,27
1917,24
1918,29
1919,36
1920,20
1921,26
1922,30
1923,20
1924,28
1925,19
1926,19
1927,14
1928,14
1929,19
1930,8
1931,14
1932,13
1933,11
1934,8
1935,12
1936,8
1937,10
1938,13
1939,11
1940,5
1941,13
1942,10
1943,12
1944,0
1945,5
1946,10
1947,11
1948,0
1949,9
1950,8
1951,12
1952,6
1953,8
1954,6
1955,7
1956,5
1957,0
1958,0
1959,0
1960,0
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,7
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,8
