year,Inis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,7
1903,0
1904,8
1905,6
1906,0
1907,7
1908,10
1909,8
1910,11
1911,8
1912,12
1913,14
1914,19
1915,21
1916,26
1917,25
1918,23
1919,22
1920,32
1921,22
1922,23
1923,19
1924,23
1925,18
1926,19
1927,16
1928,21
1929,20
1930,20
1931,12
1932,13
1933,17
1934,12
1935,13
1936,13
1937,8
1938,11
1939,11
1940,9
1941,6
1942,9
1943,6
1944,7
1945,9
1946,9
1947,9
1948,10
1949,7
1950,9
1951,5
1952,5
1953,5
1954,0
1955,0
1956,6
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
