year,Ignacio (F),Ignacio (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000027
1887,0.000000,0.000036
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000017
1896,0.000000,0.000028
1897,0.000000,0.000017
1898,0.000000,0.000016
1899,0.000000,0.000018
1900,0.000000,0.000016
1901,0.000000,0.000020
1902,0.000000,0.000016
1903,0.000000,0.000029
1904,0.000000,0.000035
1905,0.000000,0.000000
1906,0.000000,0.000021
1907,0.000000,0.000032
1908,0.000000,0.000037
1909,0.000000,0.000035
1910,0.000000,0.000034
1911,0.000000,0.000023
1912,0.000000,0.000021
1913,0.000000,0.000033
1914,0.000000,0.000024
1915,0.000000,0.000031
1916,0.000000,0.000019
1917,0.000000,0.000034
1918,0.000000,0.000038
1919,0.000000,0.000036
1920,0.000000,0.000043
1921,0.000000,0.000036
1922,0.000000,0.000052
1923,0.000000,0.000056
1924,0.000000,0.000053
1925,0.000000,0.000053
1926,0.000003,0.000058
1927,0.000000,0.000052
1928,0.000000,0.000061
1929,0.000000,0.000060
1930,0.000000,0.000064
1931,0.000000,0.000051
1932,0.000000,0.000052
1933,0.000000,0.000051
1934,0.000000,0.000050
1935,0.000000,0.000044
1936,0.000000,0.000044
1937,0.000000,0.000046
1938,0.000000,0.000045
1939,0.000000,0.000044
1940,0.000000,0.000035
1941,0.000000,0.000041
1942,0.000000,0.000030
1943,0.000000,0.000042
1944,0.000000,0.000044
1945,0.000000,0.000043
1946,0.000000,0.000039
1947,0.000000,0.000038
1948,0.000000,0.000043
1949,0.000000,0.000037
1950,0.000000,0.000037
1951,0.000000,0.000035
1952,0.000000,0.000031
1953,0.000000,0.000038
1954,0.000000,0.000029
1955,0.000000,0.000035
1956,0.000000,0.000031
1957,0.000000,0.000023
1958,0.000000,0.000033
1959,0.000000,0.000030
1960,0.000000,0.000034
1961,0.000000,0.000028
1962,0.000000,0.000034
1963,0.000000,0.000031
1964,0.000000,0.000034
1965,0.000000,0.000031
1966,0.000000,0.000040
1967,0.000000,0.000036
1968,0.000000,0.000041
1969,0.000000,0.000049
1970,0.000000,0.000046
1971,0.000000,0.000040
1972,0.000000,0.000054
1973,0.000000,0.000063
1974,0.000000,0.000067
1975,0.000000,0.000063
1976,0.000000,0.000069
1977,0.000000,0.000065
1978,0.000002,0.000066
1979,0.000000,0.000063
1980,0.000000,0.000069
1981,0.000000,0.000069
1982,0.000000,0.000060
1983,0.000001,0.000060
1984,0.000000,0.000052
1985,0.000000,0.000056
1986,0.000000,0.000066
1987,0.000000,0.000058
1988,0.000000,0.000060
1989,0.000000,0.000068
1990,0.000000,0.000071
1991,0.000001,0.000071
1992,0.000000,0.000074
1993,0.000000,0.000071
1994,0.000000,0.000071
1995,0.000000,0.000068
1996,0.000000,0.000069
1997,0.000000,0.000065
1998,0.000000,0.000075
1999,0.000000,0.000080
2000,0.000000,0.000075
2001,0.000000,0.000082
2002,0.000000,0.000082
2003,0.000000,0.000075
2004,0.000000,0.000079
2005,0.000000,0.000081
2006,0.000000,0.000079
2007,0.000000,0.000072
2008,0.000000,0.000069
2009,0.000000,0.000067
2010,0.000000,0.000059
2011,0.000000,0.000057
2012,0.000000,0.000058
2013,0.000000,0.000050
