year,Rex (F),Rex (M)
1880,0.000000,0.000065
1881,0.000000,0.000036
1882,0.000000,0.000059
1883,0.000000,0.000069
1884,0.000000,0.000053
1885,0.000000,0.000071
1886,0.000000,0.000102
1887,0.000000,0.000113
1888,0.000000,0.000093
1889,0.000000,0.000080
1890,0.000000,0.000100
1891,0.000000,0.000084
1892,0.000000,0.000084
1893,0.000000,0.000077
1894,0.000000,0.000089
1895,0.000000,0.000097
1896,0.000000,0.000098
1897,0.000000,0.000089
1898,0.000000,0.000102
1899,0.000000,0.000085
1900,0.000000,0.000131
1901,0.000000,0.000084
1902,0.000000,0.000119
1903,0.000000,0.000113
1904,0.000000,0.000082
1905,0.000000,0.000109
1906,0.000000,0.000142
1907,0.000000,0.000103
1908,0.000000,0.000131
1909,0.000000,0.000133
1910,0.000000,0.000110
1911,0.000000,0.000127
1912,0.000000,0.000166
1913,0.000000,0.000214
1914,0.000000,0.000236
1915,0.000000,0.000219
1916,0.000000,0.000238
1917,0.000000,0.000235
1918,0.000000,0.000235
1919,0.000000,0.000247
1920,0.000000,0.000271
1921,0.000002,0.000254
1922,0.000000,0.000270
1923,0.000000,0.000253
1924,0.000002,0.000247
1925,0.000004,0.000237
1926,0.000000,0.000240
1927,0.000003,0.000224
1928,0.000003,0.000230
1929,0.000000,0.000225
1930,0.000000,0.000243
1931,0.000000,0.000247
1932,0.000003,0.000273
1933,0.000000,0.000313
1934,0.000000,0.000304
1935,0.000003,0.000310
1936,0.000000,0.000295
1937,0.000000,0.000282
1938,0.000000,0.000283
1939,0.000000,0.000256
1940,0.000002,0.000237
1941,0.000000,0.000229
1942,0.000002,0.000191
1943,0.000000,0.000218
1944,0.000000,0.000213
1945,0.000000,0.000183
1946,0.000000,0.000207
1947,0.000000,0.000235
1948,0.000000,0.000262
1949,0.000000,0.000275
1950,0.000000,0.000305
1951,0.000000,0.000408
1952,0.000002,0.000394
1953,0.000002,0.000348
1954,0.000001,0.000346
1955,0.000000,0.000349
1956,0.000001,0.000351
1957,0.000002,0.000317
1958,0.000002,0.000300
1959,0.000001,0.000309
1960,0.000001,0.000316
1961,0.000002,0.000307
1962,0.000000,0.000281
1963,0.000000,0.000248
1964,0.000002,0.000246
1965,0.000000,0.000218
1966,0.000000,0.000207
1967,0.000000,0.000172
1968,0.000000,0.000152
1969,0.000000,0.000137
1970,0.000000,0.000140
1971,0.000000,0.000138
1972,0.000000,0.000119
1973,0.000000,0.000108
1974,0.000000,0.000098
1975,0.000000,0.000098
1976,0.000000,0.000093
1977,0.000000,0.000092
1978,0.000000,0.000080
1979,0.000002,0.000078
1980,0.000001,0.000087
1981,0.000000,0.000077
1982,0.000000,0.000076
1983,0.000000,0.000071
1984,0.000002,0.000074
1985,0.000000,0.000073
1986,0.000000,0.000065
1987,0.000000,0.000064
1988,0.000000,0.000067
1989,0.000000,0.000058
1990,0.000000,0.000059
1991,0.000000,0.000056
1992,0.000000,0.000054
1993,0.000000,0.000047
1994,0.000000,0.000045
1995,0.000000,0.000043
1996,0.000000,0.000038
1997,0.000000,0.000042
1998,0.000000,0.000041
1999,0.000000,0.000037
2000,0.000000,0.000030
2001,0.000000,0.000031
2002,0.000000,0.000041
2003,0.000000,0.000048
2004,0.000000,0.000048
2005,0.000000,0.000062
2006,0.000000,0.000064
2007,0.000000,0.000059
2008,0.000000,0.000070
2009,0.000000,0.000080
2010,0.000000,0.000090
2011,0.000000,0.000105
2012,0.000000,0.000106
