year,Robert (F),Robert (M)
1880,0.000060,0.011986
1881,0.000047,0.011106
1882,0.000054,0.011285
1883,0.000051,0.010759
1884,0.000029,0.010137
1885,0.000046,0.009641
1886,0.000063,0.009568
1887,0.000032,0.008590
1888,0.000063,0.009397
1889,0.000048,0.008697
1890,0.000040,0.008431
1891,0.000031,0.007814
1892,0.000051,0.008105
1893,0.000052,0.007881
1894,0.000062,0.007373
1895,0.000057,0.007507
1896,0.000078,0.007606
1897,0.000052,0.007785
1898,0.000031,0.007686
1899,0.000053,0.007691
1900,0.000053,0.008486
1901,0.000046,0.007354
1902,0.000054,0.008223
1903,0.000034,0.007985
1904,0.000032,0.008461
1905,0.000050,0.008044
1906,0.000037,0.008484
1907,0.000047,0.008638
1908,0.000053,0.008634
1909,0.000049,0.008926
1910,0.000049,0.009495
1911,0.000061,0.010129
1912,0.000065,0.012991
1913,0.000063,0.013793
1914,0.000056,0.014960
1915,0.000063,0.015682
1916,0.000063,0.016408
1917,0.000084,0.017551
1918,0.000082,0.018709
1919,0.000087,0.019442
1920,0.000091,0.021514
1921,0.000105,0.022610
1922,0.000104,0.023499
1923,0.000109,0.024371
1924,0.000126,0.025529
1925,0.000150,0.026099
1926,0.000161,0.026625
1927,0.000177,0.026590
1928,0.000192,0.026848
1929,0.000201,0.027281
1930,0.000191,0.027953
1931,0.000163,0.028759
1932,0.000154,0.028071
1933,0.000137,0.027121
1934,0.000128,0.026886
1935,0.000111,0.027047
1936,0.000106,0.028158
1937,0.000105,0.029026
1938,0.000099,0.028144
1939,0.000095,0.027073
1940,0.000089,0.026576
1941,0.000080,0.026368
1942,0.000076,0.026302
1943,0.000089,0.026527
1944,0.000072,0.026339
1945,0.000075,0.026365
1946,0.000067,0.026333
1947,0.000066,0.025442
1948,0.000060,0.024758
1949,0.000058,0.024070
1950,0.000058,0.023849
1951,0.000057,0.023441
1952,0.000051,0.022800
1953,0.000059,0.022381
1954,0.000048,0.021688
1955,0.000058,0.020856
1956,0.000052,0.020355
1957,0.000061,0.019457
1958,0.000057,0.018703
1959,0.000057,0.017926
1960,0.000065,0.017417
1961,0.000070,0.017610
1962,0.000057,0.017396
1963,0.000064,0.017686
1964,0.000072,0.018006
1965,0.000070,0.017409
1966,0.000072,0.017069
1967,0.000075,0.016605
1968,0.000078,0.017226
1969,0.000096,0.016779
1970,0.000091,0.015857
1971,0.000087,0.014757
1972,0.000092,0.013691
1973,0.000083,0.012826
1974,0.000079,0.012179
1975,0.000081,0.011699
1976,0.000078,0.011140
1977,0.000075,0.010771
1978,0.000080,0.010518
1979,0.000076,0.010226
1980,0.000074,0.009950
1981,0.000066,0.009946
1982,0.000066,0.009813
1983,0.000074,0.009457
1984,0.000066,0.009107
1985,0.000067,0.008992
1986,0.000068,0.008817
1987,0.000061,0.008386
1988,0.000049,0.008207
1989,0.000033,0.007821
1990,0.000028,0.007307
1991,0.000020,0.006890
1992,0.000016,0.006273
1993,0.000019,0.005954
1994,0.000014,0.005530
1995,0.000012,0.005076
1996,0.000010,0.004846
1997,0.000010,0.004497
1998,0.000008,0.004221
1999,0.000006,0.003937
2000,0.000006,0.003636
2001,0.000006,0.003384
2002,0.000004,0.003219
2003,0.000004,0.002998
2004,0.000009,0.002796
2005,0.000004,0.002645
2006,0.000003,0.002504
2007,0.000002,0.002348
2008,0.000002,0.002249
2009,0.000003,0.002053
2010,0.000003,0.002047
2011,0.000002,0.001909
2012,0.000002,0.001904
2013,0.000002,0.001844
2014,0.000002,0.001795
2015,0.000002,0.001657
2016,0.000000,0.001637
2017,0.000000,0.001553
2018,0.000000,0.001475
2019,0.000002,0.001396
2020,0.000000,0.001316
