year,Ruthanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,8
1919,11
1920,5
1921,11
1922,12
1923,11
1924,16
1925,14
1926,11
1927,13
1928,10
1929,14
1930,10
1931,14
1932,13
1933,6
1934,12
1935,12
1936,15
1937,35
1938,32
1939,48
1940,55
1941,55
1942,76
1943,59
1944,76
1945,54
1946,90
1947,61
1948,49
1949,59
1950,52
1951,33
1952,42
1953,27
1954,29
1955,35
1956,35
1957,33
1958,31
1959,54
1960,41
1961,44
1962,53
1963,35
1964,43
1965,48
1966,42
1967,29
1968,21
1969,29
1970,14
1971,23
1972,26
1973,15
1974,16
1975,14
1976,18
1977,18
1978,23
1979,12
1980,17
1981,28
1982,21
1983,19
1984,24
1985,14
1986,23
1987,18
1988,25
1989,17
1990,17
1991,16
1992,15
1993,17
1994,16
1995,13
1996,19
1997,13
1998,18
1999,16
2000,17
2001,15
2002,18
2003,22
2004,16
2005,10
2006,22
2007,25
2008,13
2009,13
2010,11
2011,11
2012,17
