year,Rosendo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,8
1908,10
1909,6
1910,5
1911,15
1912,5
1913,21
1914,18
1915,21
1916,30
1917,15
1918,27
1919,19
1920,30
1921,14
1922,26
1923,30
1924,30
1925,41
1926,48
1927,54
1928,45
1929,41
1930,60
1931,34
1932,48
1933,24
1934,28
1935,44
1936,25
1937,33
1938,41
1939,31
1940,32
1941,31
1942,37
1943,48
1944,40
1945,39
1946,58
1947,47
1948,58
1949,53
1950,47
1951,61
1952,51
1953,41
1954,55
1955,59
1956,44
1957,45
1958,57
1959,46
1960,44
1961,54
1962,55
1963,48
1964,59
1965,48
1966,38
1967,54
1968,57
1969,54
1970,52
1971,63
1972,55
1973,66
1974,70
1975,59
1976,57
1977,64
1978,54
1979,67
1980,73
1981,83
1982,59
1983,56
1984,60
1985,57
1986,62
1987,78
1988,71
1989,74
1990,74
1991,73
1992,71
1993,91
1994,62
1995,75
1996,71
1997,62
1998,77
1999,66
2000,74
2001,54
2002,61
2003,59
2004,55
2005,69
2006,63
2007,46
2008,44
2009,42
2010,30
2011,35
2012,36
