year,Rochele
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,0
1954,0
1955,8
1956,8
1957,9
1958,8
1959,10
1960,8
1961,19
1962,10
1963,11
1964,10
1965,16
1966,12
1967,13
1968,20
1969,19
1970,20
1971,19
1972,22
1973,13
1974,10
1975,13
1976,19
1977,19
1978,8
1979,13
1980,13
1981,11
1982,18
1983,15
1984,9
1985,7
1986,13
1987,6
1988,15
1989,9
1990,10
1991,6
1992,10
1993,7
1994,0
1995,8
1996,5
1997,0
1998,7
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
