year,Rolando (F),Rolando (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000003
1917,0.000000,0.000000
1918,0.000000,0.000003
1919,0.000000,0.000003
1920,0.000000,0.000002
1921,0.000000,0.000003
1922,0.000000,0.000004
1923,0.000000,0.000002
1924,0.000000,0.000004
1925,0.000000,0.000004
1926,0.000000,0.000005
1927,0.000000,0.000003
1928,0.000000,0.000005
1929,0.000000,0.000007
1930,0.000000,0.000004
1931,0.000000,0.000008
1932,0.000000,0.000012
1933,0.000000,0.000007
1934,0.000000,0.000010
1935,0.000000,0.000011
1936,0.000000,0.000008
1937,0.000000,0.000011
1938,0.000000,0.000014
1939,0.000000,0.000008
1940,0.000000,0.000013
1941,0.000000,0.000008
1942,0.000000,0.000015
1943,0.000000,0.000011
1944,0.000000,0.000011
1945,0.000000,0.000013
1946,0.000000,0.000018
1947,0.000000,0.000017
1948,0.000000,0.000016
1949,0.000000,0.000018
1950,0.000000,0.000021
1951,0.000000,0.000033
1952,0.000000,0.000037
1953,0.000000,0.000037
1954,0.000000,0.000039
1955,0.000000,0.000042
1956,0.000000,0.000045
1957,0.000000,0.000052
1958,0.000000,0.000046
1959,0.000000,0.000054
1960,0.000000,0.000066
1961,0.000000,0.000062
1962,0.000000,0.000066
1963,0.000000,0.000063
1964,0.000000,0.000065
1965,0.000000,0.000081
1966,0.000000,0.000075
1967,0.000002,0.000078
1968,0.000000,0.000083
1969,0.000000,0.000073
1970,0.000000,0.000090
1971,0.000000,0.000101
1972,0.000002,0.000102
1973,0.000000,0.000108
1974,0.000002,0.000119
1975,0.000000,0.000140
1976,0.000000,0.000113
1977,0.000000,0.000117
1978,0.000002,0.000125
1979,0.000002,0.000137
1980,0.000002,0.000133
1981,0.000000,0.000129
1982,0.000002,0.000110
1983,0.000000,0.000124
1984,0.000002,0.000126
1985,0.000000,0.000113
1986,0.000000,0.000119
1987,0.000002,0.000113
1988,0.000000,0.000117
1989,0.000002,0.000103
1990,0.000001,0.000097
1991,0.000000,0.000101
1992,0.000000,0.000105
1993,0.000000,0.000104
1994,0.000002,0.000127
1995,0.000001,0.000120
1996,0.000000,0.000105
1997,0.000000,0.000111
1998,0.000000,0.000118
1999,0.000000,0.000099
2000,0.000000,0.000114
2001,0.000000,0.000119
2002,0.000000,0.000112
2003,0.000000,0.000107
2004,0.000000,0.000119
2005,0.000000,0.000112
2006,0.000000,0.000111
2007,0.000000,0.000113
2008,0.000000,0.000106
2009,0.000000,0.000091
2010,0.000000,0.000086
2011,0.000000,0.000076
2012,0.000000,0.000065
