year,Ronita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,5
1942,5
1943,8
1944,0
1945,5
1946,7
1947,8
1948,5
1949,6
1950,7
1951,0
1952,9
1953,11
1954,11
1955,9
1956,14
1957,8
1958,12
1959,6
1960,17
1961,17
1962,18
1963,15
1964,16
1965,10
1966,14
1967,13
1968,22
1969,16
1970,17
1971,16
1972,17
1973,20
1974,31
1975,17
1976,9
1977,21
1978,22
1979,25
1980,20
1981,13
1982,23
1983,14
1984,10
1985,14
1986,16
1987,13
1988,13
1989,11
1990,15
1991,16
1992,10
1993,5
1994,7
1995,0
1996,8
1997,0
1998,5
1999,6
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
