year,Rob (F),Rob (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000014
1913,0.000000,0.000006
1914,0.000000,0.000008
1915,0.000000,0.000004
1916,0.000000,0.000007
1917,0.000000,0.000005
1918,0.000000,0.000008
1919,0.000000,0.000006
1920,0.000000,0.000008
1921,0.000000,0.000006
1922,0.000000,0.000009
1923,0.000000,0.000007
1924,0.000000,0.000006
1925,0.000000,0.000009
1926,0.000000,0.000005
1927,0.000000,0.000006
1928,0.000000,0.000007
1929,0.000000,0.000009
1930,0.000000,0.000008
1931,0.000000,0.000007
1932,0.000000,0.000008
1933,0.000000,0.000005
1934,0.000000,0.000006
1935,0.000000,0.000007
1936,0.000000,0.000005
1937,0.000000,0.000006
1938,0.000000,0.000006
1939,0.000000,0.000006
1940,0.000000,0.000006
1941,0.000000,0.000007
1942,0.000000,0.000004
1943,0.000000,0.000007
1944,0.000000,0.000009
1945,0.000000,0.000012
1946,0.000000,0.000009
1947,0.000000,0.000010
1948,0.000000,0.000014
1949,0.000000,0.000011
1950,0.000000,0.000013
1951,0.000000,0.000011
1952,0.000000,0.000015
1953,0.000000,0.000022
1954,0.000000,0.000028
1955,0.000000,0.000032
1956,0.000000,0.000041
1957,0.000000,0.000060
1958,0.000000,0.000076
1959,0.000000,0.000082
1960,0.000000,0.000085
1961,0.000000,0.000107
1962,0.000000,0.000121
1963,0.000000,0.000139
1964,0.000000,0.000141
1965,0.000000,0.000121
1966,0.000000,0.000094
1967,0.000000,0.000080
1968,0.000000,0.000099
1969,0.000000,0.000116
1970,0.000000,0.000092
1971,0.000000,0.000080
1972,0.000000,0.000063
1973,0.000000,0.000042
1974,0.000000,0.000038
1975,0.000000,0.000034
1976,0.000000,0.000023
1977,0.000000,0.000025
1978,0.000000,0.000025
1979,0.000000,0.000017
1980,0.000000,0.000017
1981,0.000000,0.000011
1982,0.000000,0.000015
1983,0.000000,0.000011
1984,0.000000,0.000012
1985,0.000000,0.000008
1986,0.000000,0.000012
1987,0.000000,0.000012
1988,0.000000,0.000015
1989,0.000000,0.000011
1990,0.000000,0.000009
1991,0.000000,0.000009
1992,0.000000,0.000010
1993,0.000000,0.000007
1994,0.000000,0.000005
1995,0.000000,0.000006
1996,0.000000,0.000005
1997,0.000000,0.000004
1998,0.000000,0.000005
1999,0.000000,0.000005
2000,0.000000,0.000004
2001,0.000000,0.000004
2002,0.000000,0.000003
2003,0.000000,0.000003
2004,0.000000,0.000004
2005,0.000000,0.000003
2006,0.000000,0.000000
2007,0.000000,0.000004
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000004
2012,0.000000,0.000002
