year,Richelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,6
1946,11
1947,11
1948,12
1949,16
1950,14
1951,23
1952,18
1953,34
1954,43
1955,41
1956,53
1957,60
1958,62
1959,61
1960,86
1961,116
1962,94
1963,121
1964,102
1965,126
1966,170
1967,193
1968,229
1969,281
1970,257
1971,225
1972,264
1973,248
1974,202
1975,187
1976,167
1977,156
1978,182
1979,208
1980,187
1981,195
1982,164
1983,184
1984,152
1985,187
1986,201
1987,214
1988,216
1989,241
1990,214
1991,218
1992,160
1993,180
1994,151
1995,128
1996,134
1997,88
1998,85
1999,86
2000,65
2001,60
2002,77
2003,66
2004,63
2005,50
2006,57
2007,59
2008,59
2009,68
2010,53
2011,34
2012,43
