year,Roselle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,9
1896,0
1897,5
1898,5
1899,6
1900,12
1901,5
1902,8
1903,6
1904,9
1905,9
1906,6
1907,10
1908,15
1909,12
1910,16
1911,9
1912,17
1913,19
1914,33
1915,33
1916,38
1917,36
1918,33
1919,52
1920,29
1921,34
1922,32
1923,49
1924,29
1925,45
1926,27
1927,29
1928,39
1929,40
1930,21
1931,31
1932,21
1933,23
1934,19
1935,22
1936,14
1937,24
1938,23
1939,20
1940,13
1941,17
1942,32
1943,18
1944,16
1945,13
1946,22
1947,18
1948,21
1949,23
1950,18
1951,20
1952,21
1953,17
1954,15
1955,22
1956,35
1957,34
1958,33
1959,19
1960,16
1961,23
1962,25
1963,25
1964,16
1965,15
1966,8
1967,9
1968,14
1969,13
1970,16
1971,20
1972,17
1973,15
1974,10
1975,21
1976,7
1977,13
1978,16
1979,11
1980,5
1981,8
1982,12
1983,8
1984,5
1985,5
1986,6
1987,9
1988,7
1989,5
1990,0
1991,8
1992,5
1993,10
1994,7
1995,10
1996,8
1997,5
1998,8
1999,6
2000,0
2001,0
2002,6
2003,7
2004,8
2005,9
2006,5
2007,0
2008,0
2009,0
2010,7
2011,6
2012,10
