year,Rodrick (F),Rodrick (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000002
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000003
1924,0.000000,0.000003
1925,0.000000,0.000003
1926,0.000000,0.000000
1927,0.000000,0.000003
1928,0.000000,0.000003
1929,0.000000,0.000000
1930,0.000000,0.000003
1931,0.000000,0.000004
1932,0.000000,0.000004
1933,0.000000,0.000004
1934,0.000000,0.000006
1935,0.000000,0.000002
1936,0.000000,0.000005
1937,0.000000,0.000006
1938,0.000000,0.000009
1939,0.000000,0.000007
1940,0.000000,0.000004
1941,0.000000,0.000007
1942,0.000000,0.000005
1943,0.000000,0.000006
1944,0.000000,0.000006
1945,0.000000,0.000009
1946,0.000000,0.000011
1947,0.000000,0.000009
1948,0.000000,0.000012
1949,0.000000,0.000009
1950,0.000000,0.000011
1951,0.000000,0.000015
1952,0.000000,0.000015
1953,0.000000,0.000015
1954,0.000000,0.000014
1955,0.000000,0.000019
1956,0.000000,0.000016
1957,0.000000,0.000017
1958,0.000000,0.000015
1959,0.000000,0.000018
1960,0.000000,0.000020
1961,0.000000,0.000020
1962,0.000000,0.000029
1963,0.000000,0.000030
1964,0.000000,0.000033
1965,0.000000,0.000043
1966,0.000000,0.000035
1967,0.000000,0.000038
1968,0.000000,0.000045
1969,0.000000,0.000046
1970,0.000000,0.000058
1971,0.000000,0.000057
1972,0.000000,0.000060
1973,0.000000,0.000067
1974,0.000002,0.000076
1975,0.000000,0.000079
1976,0.000000,0.000072
1977,0.000000,0.000086
1978,0.000000,0.000076
1979,0.000000,0.000065
1980,0.000000,0.000062
1981,0.000000,0.000050
1982,0.000000,0.000056
1983,0.000000,0.000048
1984,0.000000,0.000053
1985,0.000000,0.000044
1986,0.000000,0.000041
1987,0.000000,0.000037
1988,0.000000,0.000045
1989,0.000000,0.000047
1990,0.000000,0.000038
1991,0.000000,0.000043
1992,0.000000,0.000038
1993,0.000000,0.000036
1994,0.000000,0.000037
1995,0.000000,0.000029
1996,0.000000,0.000035
1997,0.000000,0.000028
1998,0.000000,0.000024
1999,0.000000,0.000024
2000,0.000000,0.000021
2001,0.000000,0.000021
2002,0.000000,0.000024
2003,0.000000,0.000023
2004,0.000000,0.000017
2005,0.000000,0.000020
2006,0.000000,0.000018
2007,0.000000,0.000016
2008,0.000000,0.000018
2009,0.000000,0.000017
2010,0.000000,0.000022
2011,0.000000,0.000019
2012,0.000000,0.000019
