year,Rogers (F),Rogers (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000032
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000033
1889,0.000000,0.000000
1890,0.000000,0.000030
1891,0.000000,0.000042
1892,0.000000,0.000024
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000037
1896,0.000000,0.000014
1897,0.000000,0.000032
1898,0.000000,0.000013
1899,0.000000,0.000047
1900,0.000000,0.000018
1901,0.000000,0.000017
1902,0.000000,0.000052
1903,0.000000,0.000024
1904,0.000000,0.000037
1905,0.000000,0.000021
1906,0.000000,0.000030
1907,0.000000,0.000030
1908,0.000000,0.000023
1909,0.000000,0.000051
1910,0.000000,0.000032
1911,0.000000,0.000036
1912,0.000000,0.000039
1913,0.000000,0.000040
1914,0.000000,0.000037
1915,0.000000,0.000045
1916,0.000000,0.000036
1917,0.000000,0.000052
1918,0.000000,0.000041
1919,0.000000,0.000046
1920,0.000000,0.000039
1921,0.000000,0.000050
1922,0.000000,0.000048
1923,0.000000,0.000053
1924,0.000000,0.000042
1925,0.000003,0.000040
1926,0.000000,0.000049
1927,0.000000,0.000047
1928,0.000000,0.000044
1929,0.000000,0.000050
1930,0.000000,0.000051
1931,0.000000,0.000055
1932,0.000000,0.000045
1933,0.000000,0.000060
1934,0.000000,0.000049
1935,0.000000,0.000056
1936,0.000000,0.000050
1937,0.000000,0.000062
1938,0.000000,0.000046
1939,0.000002,0.000051
1940,0.000000,0.000049
1941,0.000000,0.000046
1942,0.000000,0.000046
1943,0.000000,0.000039
1944,0.000000,0.000046
1945,0.000000,0.000047
1946,0.000000,0.000042
1947,0.000000,0.000037
1948,0.000000,0.000042
1949,0.000000,0.000042
1950,0.000001,0.000047
1951,0.000000,0.000042
1952,0.000000,0.000038
1953,0.000001,0.000040
1954,0.000000,0.000033
1955,0.000000,0.000029
1956,0.000000,0.000025
1957,0.000000,0.000021
1958,0.000000,0.000023
1959,0.000000,0.000018
1960,0.000000,0.000019
1961,0.000000,0.000020
1962,0.000000,0.000019
1963,0.000000,0.000012
1964,0.000000,0.000013
1965,0.000000,0.000017
1966,0.000000,0.000017
1967,0.000000,0.000012
1968,0.000000,0.000014
1969,0.000000,0.000013
1970,0.000000,0.000012
1971,0.000000,0.000010
1972,0.000000,0.000015
1973,0.000000,0.000015
1974,0.000000,0.000010
1975,0.000000,0.000010
1976,0.000000,0.000010
1977,0.000000,0.000010
1978,0.000000,0.000010
1979,0.000000,0.000008
1980,0.000000,0.000009
1981,0.000000,0.000011
1982,0.000000,0.000008
1983,0.000000,0.000008
1984,0.000000,0.000008
1985,0.000000,0.000008
1986,0.000000,0.000007
1987,0.000000,0.000005
1988,0.000000,0.000006
1989,0.000000,0.000005
1990,0.000000,0.000004
1991,0.000000,0.000004
1992,0.000000,0.000004
1993,0.000000,0.000003
1994,0.000000,0.000002
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000002
2000,0.000000,0.000002
2001,0.000000,0.000003
2002,0.000000,0.000002
2003,0.000000,0.000001
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000003
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000002
2013,0.000000,0.000003
2014,0.000000,0.000002
2015,0.000000,0.000002
2016,0.000000,0.000002
2017,0.000000,0.000003
2018,0.000000,0.000000
2019,0.000000,0.000002
2020,0.000000,0.000002
