year,Raiford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,10
1915,9
1916,15
1917,13
1918,16
1919,9
1920,9
1921,10
1922,11
1923,10
1924,13
1925,13
1926,8
1927,9
1928,15
1929,12
1930,9
1931,17
1932,10
1933,8
1934,11
1935,12
1936,8
1937,8
1938,14
1939,8
1940,6
1941,15
1942,16
1943,11
1944,11
1945,8
1946,12
1947,10
1948,15
1949,7
1950,14
1951,14
1952,9
1953,5
1954,13
1955,8
1956,12
1957,9
1958,8
1959,0
1960,9
1961,6
1962,0
1963,6
1964,0
1965,5
1966,6
1967,0
1968,7
1969,7
1970,6
1971,7
1972,0
1973,5
1974,0
1975,6
1976,0
1977,6
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,6
1985,7
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
