year,Raul (F),Raul (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000020
1905,0.000000,0.000000
1906,0.000000,0.000021
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000020
1910,0.000000,0.000027
1911,0.000000,0.000028
1912,0.000000,0.000029
1913,0.000000,0.000047
1914,0.000000,0.000036
1915,0.000000,0.000048
1916,0.000000,0.000042
1917,0.000000,0.000046
1918,0.000000,0.000047
1919,0.000000,0.000052
1920,0.000000,0.000079
1921,0.000000,0.000084
1922,0.000000,0.000089
1923,0.000000,0.000094
1924,0.000000,0.000129
1925,0.000000,0.000121
1926,0.000000,0.000133
1927,0.000000,0.000156
1928,0.000000,0.000166
1929,0.000003,0.000193
1930,0.000002,0.000184
1931,0.000000,0.000173
1932,0.000000,0.000161
1933,0.000004,0.000160
1934,0.000004,0.000151
1935,0.000000,0.000155
1936,0.000002,0.000136
1937,0.000000,0.000124
1938,0.000002,0.000137
1939,0.000002,0.000146
1940,0.000000,0.000132
1941,0.000002,0.000119
1942,0.000000,0.000126
1943,0.000000,0.000131
1944,0.000002,0.000146
1945,0.000000,0.000184
1946,0.000002,0.000151
1947,0.000001,0.000159
1948,0.000000,0.000178
1949,0.000000,0.000185
1950,0.000001,0.000184
1951,0.000001,0.000191
1952,0.000001,0.000188
1953,0.000002,0.000191
1954,0.000001,0.000196
1955,0.000003,0.000198
1956,0.000002,0.000197
1957,0.000000,0.000200
1958,0.000001,0.000209
1959,0.000002,0.000204
1960,0.000001,0.000217
1961,0.000001,0.000213
1962,0.000002,0.000202
1963,0.000002,0.000215
1964,0.000000,0.000215
1965,0.000003,0.000219
1966,0.000002,0.000243
1967,0.000004,0.000251
1968,0.000003,0.000262
1969,0.000000,0.000243
1970,0.000003,0.000287
1971,0.000003,0.000325
1972,0.000002,0.000335
1973,0.000002,0.000318
1974,0.000004,0.000350
1975,0.000004,0.000344
1976,0.000003,0.000366
1977,0.000003,0.000320
1978,0.000003,0.000327
1979,0.000000,0.000336
1980,0.000003,0.000374
1981,0.000002,0.000381
1982,0.000003,0.000348
1983,0.000004,0.000330
1984,0.000004,0.000317
1985,0.000003,0.000310
1986,0.000004,0.000327
1987,0.000003,0.000327
1988,0.000003,0.000334
1989,0.000003,0.000354
1990,0.000004,0.000370
1991,0.000000,0.000375
1992,0.000003,0.000387
1993,0.000004,0.000397
1994,0.000001,0.000390
1995,0.000002,0.000413
1996,0.000002,0.000409
1997,0.000002,0.000388
1998,0.000000,0.000373
1999,0.000001,0.000398
2000,0.000000,0.000402
2001,0.000000,0.000385
2002,0.000000,0.000376
2003,0.000002,0.000368
2004,0.000001,0.000362
2005,0.000002,0.000347
2006,0.000000,0.000343
2007,0.000000,0.000347
2008,0.000001,0.000300
2009,0.000000,0.000266
2010,0.000000,0.000251
2011,0.000000,0.000228
2012,0.000000,0.000198
2013,0.000000,0.000198
2014,0.000000,0.000196
2015,0.000000,0.000188
2016,0.000000,0.000177
2017,0.000000,0.000156
2018,0.000000,0.000157
2019,0.000000,0.000159
2020,0.000000,0.000151
