year,Ricky (F),Ricky (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000003
1926,0.000000,0.000005
1927,0.000002,0.000003
1928,0.000002,0.000004
1929,0.000000,0.000004
1930,0.000000,0.000005
1931,0.000003,0.000005
1932,0.000000,0.000004
1933,0.000004,0.000006
1934,0.000000,0.000010
1935,0.000000,0.000009
1936,0.000002,0.000013
1937,0.000000,0.000009
1938,0.000002,0.000014
1939,0.000000,0.000013
1940,0.000000,0.000021
1941,0.000002,0.000036
1942,0.000003,0.000040
1943,0.000002,0.000064
1944,0.000004,0.000146
1945,0.000008,0.000197
1946,0.000008,0.000238
1947,0.000012,0.000361
1948,0.000009,0.000463
1949,0.000009,0.000514
1950,0.000009,0.000602
1951,0.000008,0.000834
1952,0.000009,0.001226
1953,0.000013,0.001788
1954,0.000015,0.002050
1955,0.000008,0.002074
1956,0.000012,0.002128
1957,0.000013,0.002518
1958,0.000012,0.003237
1959,0.000020,0.003177
1960,0.000016,0.002647
1961,0.000014,0.002419
1962,0.000014,0.002154
1963,0.000015,0.002049
1964,0.000013,0.001738
1965,0.000008,0.001561
1966,0.000011,0.001346
1967,0.000012,0.001183
1968,0.000008,0.001195
1969,0.000009,0.000982
1970,0.000008,0.000857
1971,0.000005,0.000775
1972,0.000007,0.000711
1973,0.000008,0.000644
1974,0.000012,0.000669
1975,0.000010,0.000635
1976,0.000008,0.000657
1977,0.000004,0.000616
1978,0.000006,0.000636
1979,0.000006,0.000669
1980,0.000007,0.000649
1981,0.000007,0.000642
1982,0.000008,0.000604
1983,0.000009,0.000601
1984,0.000007,0.000568
1985,0.000008,0.000542
1986,0.000005,0.000550
1987,0.000006,0.000514
1988,0.000006,0.000510
1989,0.000005,0.000493
1990,0.000004,0.000445
1991,0.000004,0.000415
1992,0.000003,0.000422
1993,0.000003,0.000382
1994,0.000005,0.000380
1995,0.000004,0.000335
1996,0.000004,0.000328
1997,0.000001,0.000297
1998,0.000003,0.000264
1999,0.000003,0.000297
2000,0.000003,0.000271
2001,0.000002,0.000229
2002,0.000002,0.000215
2003,0.000000,0.000210
2004,0.000005,0.000206
2005,0.000000,0.000200
2006,0.000002,0.000192
2007,0.000002,0.000205
2008,0.000002,0.000217
2009,0.000003,0.000183
2010,0.000002,0.000161
2011,0.000002,0.000161
2012,0.000000,0.000162
2013,0.000000,0.000151
2014,0.000000,0.000146
2015,0.000002,0.000129
2016,0.000002,0.000122
2017,0.000003,0.000102
2018,0.000003,0.000105
2019,0.000003,0.000116
2020,0.000003,0.000110
