year,Roberta (F),Roberta (M)
1880,0.000169,0.000000
1881,0.000213,0.000000
1882,0.000158,0.000000
1883,0.000221,0.000000
1884,0.000226,0.000000
1885,0.000187,0.000000
1886,0.000282,0.000000
1887,0.000259,0.000000
1888,0.000247,0.000000
1889,0.000253,0.000000
1890,0.000302,0.000000
1891,0.000307,0.000000
1892,0.000257,0.000000
1893,0.000252,0.000000
1894,0.000342,0.000000
1895,0.000370,0.000000
1896,0.000316,0.000000
1897,0.000375,0.000000
1898,0.000378,0.000000
1899,0.000413,0.000000
1900,0.000442,0.000000
1901,0.000477,0.000000
1902,0.000455,0.000000
1903,0.000538,0.000000
1904,0.000523,0.000000
1905,0.000573,0.000000
1906,0.000544,0.000000
1907,0.000625,0.000000
1908,0.000606,0.000000
1909,0.000690,0.000000
1910,0.000733,0.000000
1911,0.000684,0.000000
1912,0.000701,0.000000
1913,0.000664,0.000000
1914,0.000650,0.000004
1915,0.000631,0.000003
1916,0.000679,0.000003
1917,0.000711,0.000003
1918,0.000774,0.000003
1919,0.000735,0.000004
1920,0.000723,0.000003
1921,0.000742,0.000004
1922,0.000725,0.000004
1923,0.000720,0.000002
1924,0.000744,0.000005
1925,0.000754,0.000005
1926,0.000818,0.000005
1927,0.000962,0.000005
1928,0.000851,0.000006
1929,0.000899,0.000006
1930,0.000878,0.000004
1931,0.000929,0.000005
1932,0.001063,0.000006
1933,0.001019,0.000006
1934,0.001142,0.000008
1935,0.001522,0.000010
1936,0.001668,0.000010
1937,0.001675,0.000008
1938,0.001603,0.000007
1939,0.001547,0.000007
1940,0.001491,0.000007
1941,0.001394,0.000007
1942,0.001503,0.000007
1943,0.001477,0.000008
1944,0.001392,0.000006
1945,0.001357,0.000007
1946,0.001257,0.000005
1947,0.001183,0.000004
1948,0.001062,0.000003
1949,0.001050,0.000002
1950,0.001036,0.000004
1951,0.001080,0.000002
1952,0.001113,0.000002
1953,0.001116,0.000003
1954,0.001016,0.000002
1955,0.000942,0.000004
1956,0.000938,0.000002
1957,0.000882,0.000003
1958,0.000798,0.000004
1959,0.000741,0.000002
1960,0.000684,0.000002
1961,0.000619,0.000002
1962,0.000627,0.000002
1963,0.000587,0.000003
1964,0.000586,0.000002
1965,0.000587,0.000003
1966,0.000523,0.000003
1967,0.000477,0.000003
1968,0.000441,0.000002
1969,0.000433,0.000003
1970,0.000381,0.000004
1971,0.000341,0.000002
1972,0.000311,0.000000
1973,0.000287,0.000003
1974,0.000270,0.000002
1975,0.000222,0.000002
1976,0.000203,0.000002
1977,0.000181,0.000000
1978,0.000167,0.000000
1979,0.000148,0.000002
1980,0.000140,0.000003
1981,0.000134,0.000002
1982,0.000117,0.000003
1983,0.000097,0.000001
1984,0.000090,0.000002
1985,0.000081,0.000002
1986,0.000080,0.000002
1987,0.000072,0.000000
1988,0.000057,0.000002
1989,0.000060,0.000000
1990,0.000051,0.000002
1991,0.000049,0.000000
1992,0.000043,0.000000
1993,0.000040,0.000000
1994,0.000032,0.000000
1995,0.000029,0.000000
1996,0.000030,0.000000
1997,0.000026,0.000000
1998,0.000024,0.000000
1999,0.000021,0.000000
2000,0.000017,0.000000
2001,0.000019,0.000000
2002,0.000017,0.000000
2003,0.000011,0.000000
2004,0.000012,0.000000
2005,0.000014,0.000000
2006,0.000017,0.000000
2007,0.000015,0.000000
2008,0.000011,0.000000
2009,0.000010,0.000000
2010,0.000012,0.000000
2011,0.000016,0.000000
2012,0.000016,0.000000
2013,0.000012,0.000000
2014,0.000018,0.000000
2015,0.000017,0.000000
2016,0.000017,0.000000
2017,0.000015,0.000000
2018,0.000017,0.000000
2019,0.000017,0.000000
2020,0.000012,0.000000
