year,Rosella
1880,25
1881,12
1882,18
1883,25
1884,27
1885,29
1886,22
1887,28
1888,38
1889,30
1890,33
1891,34
1892,53
1893,41
1894,61
1895,53
1896,47
1897,55
1898,79
1899,46
1900,94
1901,80
1902,72
1903,84
1904,93
1905,83
1906,106
1907,112
1908,119
1909,117
1910,123
1911,140
1912,186
1913,225
1914,237
1915,357
1916,387
1917,398
1918,420
1919,374
1920,406
1921,425
1922,410
1923,382
1924,435
1925,377
1926,426
1927,397
1928,360
1929,335
1930,363
1931,309
1932,295
1933,275
1934,255
1935,268
1936,247
1937,220
1938,223
1939,225
1940,200
1941,178
1942,171
1943,162
1944,148
1945,138
1946,147
1947,166
1948,117
1949,119
1950,132
1951,108
1952,110
1953,97
1954,73
1955,94
1956,74
1957,67
1958,70
1959,81
1960,63
1961,58
1962,64
1963,63
1964,53
1965,50
1966,37
1967,45
1968,53
1969,36
1970,38
1971,57
1972,39
1973,40
1974,26
1975,22
1976,21
1977,28
1978,28
1979,19
1980,31
1981,19
1982,26
1983,21
1984,16
1985,13
1986,23
1987,21
1988,17
1989,16
1990,16
1991,27
1992,14
1993,12
1994,15
1995,22
1996,15
1997,11
1998,20
1999,16
2000,14
2001,14
2002,21
2003,24
2004,22
2005,20
2006,29
2007,31
2008,24
2009,36
2010,33
2011,27
2012,45
