year,Ross (F),Ross (M)
1880,0.000000,0.000342
1881,0.000000,0.000426
1882,0.000000,0.000433
1883,0.000000,0.000406
1884,0.000000,0.000452
1885,0.000000,0.000453
1886,0.000000,0.000419
1887,0.000000,0.000344
1888,0.000000,0.000301
1889,0.000000,0.000398
1890,0.000000,0.000335
1891,0.000017,0.000300
1892,0.000000,0.000269
1893,0.000000,0.000234
1894,0.000000,0.000325
1895,0.000000,0.000208
1896,0.000000,0.000232
1897,0.000000,0.000179
1898,0.000000,0.000197
1899,0.000000,0.000280
1900,0.000000,0.000184
1901,0.000000,0.000208
1902,0.000000,0.000233
1903,0.000000,0.000176
1904,0.000000,0.000181
1905,0.000000,0.000175
1906,0.000000,0.000205
1907,0.000000,0.000163
1908,0.000000,0.000203
1909,0.000000,0.000158
1910,0.000000,0.000174
1911,0.000000,0.000217
1912,0.000000,0.000243
1913,0.000004,0.000264
1914,0.000004,0.000254
1915,0.000000,0.000246
1916,0.000003,0.000236
1917,0.000004,0.000251
1918,0.000004,0.000262
1919,0.000006,0.000270
1920,0.000000,0.000242
1921,0.000005,0.000221
1922,0.000003,0.000252
1923,0.000003,0.000250
1924,0.000003,0.000246
1925,0.000004,0.000239
1926,0.000003,0.000231
1927,0.000000,0.000196
1928,0.000002,0.000214
1929,0.000000,0.000188
1930,0.000000,0.000225
1931,0.000003,0.000215
1932,0.000000,0.000200
1933,0.000000,0.000208
1934,0.000002,0.000213
1935,0.000000,0.000204
1936,0.000003,0.000229
1937,0.000000,0.000218
1938,0.000003,0.000217
1939,0.000002,0.000218
1940,0.000000,0.000199
1941,0.000002,0.000211
1942,0.000000,0.000203
1943,0.000000,0.000207
1944,0.000003,0.000210
1945,0.000002,0.000209
1946,0.000000,0.000203
1947,0.000000,0.000219
1948,0.000000,0.000209
1949,0.000000,0.000219
1950,0.000001,0.000220
1951,0.000001,0.000240
1952,0.000000,0.000240
1953,0.000000,0.000238
1954,0.000000,0.000252
1955,0.000000,0.000256
1956,0.000000,0.000240
1957,0.000001,0.000227
1958,0.000002,0.000249
1959,0.000000,0.000248
1960,0.000001,0.000251
1961,0.000000,0.000247
1962,0.000002,0.000282
1963,0.000003,0.000284
1964,0.000000,0.000264
1965,0.000000,0.000272
1966,0.000000,0.000264
1967,0.000000,0.000235
1968,0.000000,0.000251
1969,0.000002,0.000255
1970,0.000000,0.000244
1971,0.000002,0.000250
1972,0.000000,0.000226
1973,0.000004,0.000237
1974,0.000002,0.000221
1975,0.000002,0.000226
1976,0.000000,0.000224
1977,0.000000,0.000259
1978,0.000002,0.000290
1979,0.000003,0.000301
1980,0.000001,0.000302
1981,0.000000,0.000359
1982,0.000004,0.000418
1983,0.000003,0.000388
1984,0.000004,0.000501
1985,0.000004,0.000528
1986,0.000005,0.000499
1987,0.000002,0.000462
1988,0.000004,0.000479
1989,0.000003,0.000465
1990,0.000002,0.000410
1991,0.000002,0.000371
1992,0.000000,0.000333
1993,0.000000,0.000250
1994,0.000000,0.000226
1995,0.000000,0.000285
1996,0.000000,0.000285
1997,0.000000,0.000219
1998,0.000000,0.000215
1999,0.000001,0.000181
2000,0.000001,0.000149
2001,0.000000,0.000134
2002,0.000000,0.000113
2003,0.000002,0.000099
2004,0.000002,0.000092
2005,0.000000,0.000082
2006,0.000000,0.000072
2007,0.000000,0.000065
2008,0.000000,0.000066
2009,0.000000,0.000060
2010,0.000000,0.000059
2011,0.000000,0.000058
2012,0.000000,0.000058
