year,Rubye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,7
1887,5
1888,5
1889,7
1890,9
1891,6
1892,17
1893,11
1894,21
1895,19
1896,19
1897,20
1898,23
1899,23
1900,23
1901,46
1902,49
1903,58
1904,62
1905,67
1906,76
1907,61
1908,80
1909,98
1910,84
1911,116
1912,158
1913,138
1914,172
1915,210
1916,241
1917,244
1918,254
1919,256
1920,241
1921,242
1922,225
1923,210
1924,226
1925,178
1926,195
1927,164
1928,134
1929,160
1930,125
1931,120
1932,92
1933,99
1934,127
1935,79
1936,98
1937,100
1938,106
1939,72
1940,52
1941,88
1942,80
1943,84
1944,85
1945,73
1946,69
1947,81
1948,74
1949,58
1950,51
1951,49
1952,43
1953,40
1954,34
1955,28
1956,30
1957,21
1958,17
1959,16
1960,18
1961,13
1962,19
1963,6
1964,11
1965,7
1966,5
1967,0
1968,7
1969,6
1970,5
1971,0
1972,5
1973,0
1974,6
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,5
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,5
2006,7
2007,5
2008,5
2009,9
2010,5
2011,0
2012,7
