year,Ressie
1880,0
1881,5
1882,0
1883,5
1884,5
1885,0
1886,7
1887,5
1888,12
1889,12
1890,15
1891,11
1892,16
1893,8
1894,13
1895,13
1896,19
1897,18
1898,21
1899,21
1900,21
1901,24
1902,24
1903,34
1904,18
1905,26
1906,26
1907,27
1908,32
1909,31
1910,32
1911,25
1912,31
1913,36
1914,37
1915,57
1916,51
1917,63
1918,43
1919,45
1920,49
1921,56
1922,56
1923,64
1924,42
1925,35
1926,37
1927,47
1928,29
1929,26
1930,21
1931,30
1932,27
1933,21
1934,23
1935,21
1936,21
1937,21
1938,18
1939,17
1940,18
1941,14
1942,16
1943,19
1944,16
1945,14
1946,9
1947,9
1948,18
1949,13
1950,12
1951,7
1952,7
1953,9
1954,0
1955,7
1956,9
1957,5
1958,6
1959,6
1960,8
1961,8
1962,8
1963,0
1964,8
1965,0
1966,0
1967,8
1968,10
1969,5
1970,6
1971,6
1972,0
1973,0
1974,5
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
