year,Raechel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,6
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,5
1946,0
1947,0
1948,0
1949,0
1950,5
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,6
1964,5
1965,0
1966,5
1967,10
1968,13
1969,12
1970,18
1971,22
1972,16
1973,17
1974,28
1975,22
1976,29
1977,36
1978,39
1979,39
1980,60
1981,54
1982,67
1983,60
1984,59
1985,78
1986,80
1987,86
1988,87
1989,104
1990,84
1991,114
1992,90
1993,102
1994,78
1995,91
1996,78
1997,67
1998,53
1999,64
2000,46
2001,52
2002,43
2003,48
2004,31
2005,29
2006,29
2007,24
2008,14
2009,11
2010,12
2011,0
2012,9
