year,Ronal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,9
1919,0
1920,0
1921,11
1922,0
1923,6
1924,0
1925,6
1926,0
1927,11
1928,8
1929,6
1930,9
1931,15
1932,10
1933,16
1934,14
1935,12
1936,12
1937,27
1938,40
1939,61
1940,33
1941,35
1942,28
1943,27
1944,25
1945,26
1946,29
1947,28
1948,30
1949,21
1950,24
1951,22
1952,15
1953,13
1954,19
1955,21
1956,12
1957,14
1958,17
1959,11
1960,14
1961,20
1962,16
1963,25
1964,11
1965,10
1966,17
1967,14
1968,14
1969,19
1970,19
1971,11
1972,18
1973,8
1974,8
1975,7
1976,7
1977,11
1978,7
1979,0
1980,0
1981,8
1982,6
1983,7
1984,6
1985,7
1986,17
1987,6
1988,5
1989,9
1990,11
1991,13
1992,8
1993,11
1994,12
1995,12
1996,12
1997,11
1998,18
1999,15
2000,21
2001,9
2002,21
2003,16
2004,23
2005,14
2006,21
2007,28
2008,19
2009,22
2010,22
2011,8
2012,10
