year,Raelynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,6
1953,5
1954,5
1955,15
1956,9
1957,10
1958,14
1959,12
1960,21
1961,26
1962,21
1963,26
1964,34
1965,32
1966,21
1967,26
1968,28
1969,34
1970,24
1971,26
1972,26
1973,18
1974,17
1975,22
1976,28
1977,25
1978,20
1979,34
1980,38
1981,40
1982,43
1983,46
1984,38
1985,50
1986,41
1987,45
1988,55
1989,66
1990,47
1991,69
1992,69
1993,67
1994,77
1995,78
1996,80
1997,78
1998,104
1999,115
2000,109
2001,126
2002,127
2003,129
2004,146
2005,152
2006,173
2007,249
2008,302
2009,330
2010,467
2011,596
2012,922
