year,Roseline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,12
1914,9
1915,17
1916,16
1917,10
1918,29
1919,15
1920,27
1921,28
1922,29
1923,21
1924,21
1925,26
1926,23
1927,22
1928,24
1929,28
1930,24
1931,15
1932,23
1933,16
1934,14
1935,18
1936,14
1937,15
1938,12
1939,20
1940,16
1941,13
1942,15
1943,13
1944,14
1945,10
1946,6
1947,11
1948,7
1949,7
1950,6
1951,10
1952,13
1953,7
1954,6
1955,6
1956,9
1957,9
1958,12
1959,7
1960,9
1961,8
1962,7
1963,0
1964,7
1965,8
1966,0
1967,0
1968,0
1969,5
1970,0
1971,10
1972,6
1973,8
1974,0
1975,5
1976,0
1977,0
1978,5
1979,0
1980,7
1981,13
1982,11
1983,9
1984,10
1985,10
1986,0
1987,11
1988,0
1989,5
1990,11
1991,7
1992,12
1993,13
1994,6
1995,5
1996,7
1997,11
1998,12
1999,0
2000,0
2001,8
2002,8
2003,9
2004,14
2005,16
2006,21
2007,6
2008,17
2009,17
2010,11
2011,17
2012,11
