year,Rondy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,5
1945,0
1946,7
1947,0
1948,6
1949,7
1950,0
1951,15
1952,9
1953,14
1954,16
1955,18
1956,15
1957,15
1958,9
1959,12
1960,13
1961,10
1962,11
1963,9
1964,20
1965,16
1966,12
1967,13
1968,15
1969,6
1970,11
1971,16
1972,8
1973,6
1974,9
1975,5
1976,5
1977,0
1978,6
1979,6
1980,8
1981,7
1982,0
1983,5
1984,0
1985,6
1986,5
1987,6
1988,9
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
