year,Renetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,0
1913,0
1914,6
1915,8
1916,5
1917,8
1918,14
1919,9
1920,12
1921,7
1922,11
1923,17
1924,12
1925,11
1926,12
1927,11
1928,16
1929,16
1930,5
1931,0
1932,9
1933,8
1934,10
1935,10
1936,9
1937,9
1938,8
1939,13
1940,16
1941,16
1942,0
1943,10
1944,9
1945,9
1946,15
1947,18
1948,12
1949,23
1950,16
1951,29
1952,20
1953,38
1954,24
1955,39
1956,30
1957,26
1958,29
1959,48
1960,44
1961,45
1962,56
1963,37
1964,44
1965,42
1966,40
1967,35
1968,41
1969,27
1970,50
1971,34
1972,33
1973,24
1974,24
1975,29
1976,23
1977,26
1978,10
1979,18
1980,31
1981,21
1982,22
1983,19
1984,21
1985,9
1986,19
1987,8
1988,8
1989,15
1990,7
1991,12
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
