year,Rayetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,7
1924,0
1925,7
1926,0
1927,0
1928,7
1929,9
1930,10
1931,5
1932,11
1933,8
1934,0
1935,5
1936,9
1937,10
1938,7
1939,8
1940,9
1941,12
1942,5
1943,18
1944,11
1945,10
1946,16
1947,25
1948,14
1949,23
1950,15
1951,12
1952,17
1953,22
1954,23
1955,15
1956,14
1957,15
1958,25
1959,13
1960,22
1961,19
1962,15
1963,12
1964,15
1965,17
1966,14
1967,6
1968,16
1969,13
1970,12
1971,14
1972,9
1973,12
1974,8
1975,10
1976,0
1977,6
1978,0
1979,5
1980,0
1981,7
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
