year,Rosia
1880,8
1881,6
1882,8
1883,6
1884,5
1885,8
1886,10
1887,11
1888,11
1889,12
1890,10
1891,17
1892,14
1893,8
1894,10
1895,21
1896,20
1897,17
1898,25
1899,5
1900,29
1901,26
1902,20
1903,31
1904,24
1905,33
1906,32
1907,40
1908,34
1909,37
1910,57
1911,40
1912,57
1913,45
1914,68
1915,59
1916,64
1917,68
1918,78
1919,84
1920,54
1921,72
1922,91
1923,82
1924,56
1925,102
1926,83
1927,82
1928,57
1929,54
1930,55
1931,47
1932,68
1933,62
1934,55
1935,56
1936,57
1937,63
1938,51
1939,56
1940,54
1941,41
1942,56
1943,53
1944,44
1945,44
1946,42
1947,38
1948,66
1949,49
1950,58
1951,39
1952,39
1953,40
1954,38
1955,29
1956,24
1957,34
1958,25
1959,14
1960,16
1961,13
1962,23
1963,14
1964,15
1965,10
1966,8
1967,7
1968,13
1969,5
1970,9
1971,0
1972,7
1973,8
1974,7
1975,0
1976,11
1977,0
1978,5
1979,0
1980,5
1981,8
1982,0
1983,0
1984,6
1985,6
1986,0
1987,0
1988,0
1989,0
1990,7
1991,5
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
