year,Romel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,7
1954,0
1955,10
1956,10
1957,7
1958,20
1959,5
1960,5
1961,5
1962,13
1963,8
1964,5
1965,10
1966,7
1967,14
1968,6
1969,15
1970,16
1971,23
1972,15
1973,16
1974,22
1975,23
1976,23
1977,19
1978,48
1979,31
1980,40
1981,47
1982,43
1983,23
1984,35
1985,41
1986,35
1987,37
1988,36
1989,32
1990,40
1991,67
1992,40
1993,44
1994,58
1995,39
1996,54
1997,51
1998,57
1999,48
2000,45
2001,62
2002,67
2003,29
2004,47
2005,48
2006,55
2007,51
2008,53
2009,65
2010,67
2011,53
2012,52
