year,Rashid
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,5
1967,9
1968,13
1969,18
1970,20
1971,33
1972,31
1973,36
1974,47
1975,51
1976,58
1977,55
1978,49
1979,54
1980,52
1981,35
1982,58
1983,39
1984,64
1985,50
1986,48
1987,40
1988,55
1989,53
1990,56
1991,61
1992,54
1993,50
1994,65
1995,58
1996,67
1997,55
1998,49
1999,50
2000,51
2001,49
2002,42
2003,49
2004,46
2005,43
2006,38
2007,34
2008,50
2009,44
2010,36
2011,34
2012,22
