year,Ronelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,0
1943,12
1944,0
1945,5
1946,8
1947,8
1948,7
1949,10
1950,7
1951,5
1952,11
1953,5
1954,13
1955,11
1956,13
1957,9
1958,14
1959,6
1960,14
1961,16
1962,7
1963,10
1964,9
1965,14
1966,19
1967,24
1968,11
1969,23
1970,14
1971,18
1972,13
1973,14
1974,11
1975,19
1976,16
1977,17
1978,19
1979,12
1980,7
1981,23
1982,16
1983,13
1984,10
1985,15
1986,6
1987,17
1988,11
1989,5
1990,8
1991,9
1992,7
1993,7
1994,8
1995,8
1996,0
1997,0
1998,5
1999,5
2000,0
2001,6
2002,5
2003,0
2004,0
2005,5
2006,0
2007,0
2008,6
2009,5
2010,0
2011,0
2012,0
