year,Reginald (F),Reginald (M)
1880,0.000000,0.000069
1881,0.000000,0.000062
1882,0.000000,0.000032
1883,0.000000,0.000055
1884,0.000000,0.000066
1885,0.000000,0.000066
1886,0.000000,0.000059
1887,0.000000,0.000044
1888,0.000000,0.000047
1889,0.000000,0.000048
1890,0.000000,0.000063
1891,0.000000,0.000077
1892,0.000000,0.000072
1893,0.000000,0.000071
1894,0.000000,0.000065
1895,0.000000,0.000074
1896,0.000000,0.000084
1897,0.000000,0.000052
1898,0.000000,0.000058
1899,0.000000,0.000074
1900,0.000000,0.000060
1901,0.000000,0.000090
1902,0.000000,0.000111
1903,0.000000,0.000126
1904,0.000000,0.000099
1905,0.000000,0.000125
1906,0.000000,0.000110
1907,0.000000,0.000101
1908,0.000000,0.000096
1909,0.000000,0.000110
1910,0.000000,0.000100
1911,0.000000,0.000133
1912,0.000000,0.000136
1913,0.000000,0.000158
1914,0.000000,0.000141
1915,0.000000,0.000133
1916,0.000000,0.000126
1917,0.000000,0.000130
1918,0.000000,0.000128
1919,0.000000,0.000116
1920,0.000003,0.000121
1921,0.000000,0.000116
1922,0.000000,0.000124
1923,0.000000,0.000146
1924,0.000000,0.000146
1925,0.000000,0.000184
1926,0.000002,0.000206
1927,0.000003,0.000193
1928,0.000000,0.000177
1929,0.000000,0.000200
1930,0.000000,0.000190
1931,0.000000,0.000201
1932,0.000000,0.000177
1933,0.000000,0.000171
1934,0.000000,0.000181
1935,0.000000,0.000168
1936,0.000000,0.000181
1937,0.000000,0.000183
1938,0.000000,0.000185
1939,0.000000,0.000183
1940,0.000002,0.000223
1941,0.000000,0.000218
1942,0.000002,0.000232
1943,0.000000,0.000217
1944,0.000000,0.000211
1945,0.000000,0.000222
1946,0.000000,0.000225
1947,0.000000,0.000249
1948,0.000000,0.000273
1949,0.000000,0.000312
1950,0.000000,0.000372
1951,0.000003,0.000397
1952,0.000002,0.000393
1953,0.000002,0.000425
1954,0.000002,0.000454
1955,0.000003,0.000517
1956,0.000004,0.000541
1957,0.000005,0.000574
1958,0.000004,0.000604
1959,0.000005,0.000579
1960,0.000005,0.000588
1961,0.000004,0.000596
1962,0.000005,0.000655
1963,0.000006,0.000649
1964,0.000006,0.000673
1965,0.000006,0.000682
1966,0.000006,0.000670
1967,0.000009,0.000708
1968,0.000010,0.000756
1969,0.000007,0.000697
1970,0.000004,0.000640
1971,0.000006,0.000616
1972,0.000007,0.000609
1973,0.000005,0.000541
1974,0.000006,0.000529
1975,0.000007,0.000496
1976,0.000008,0.000470
1977,0.000007,0.000479
1978,0.000005,0.000478
1979,0.000007,0.000498
1980,0.000004,0.000430
1981,0.000005,0.000407
1982,0.000003,0.000393
1983,0.000006,0.000366
1984,0.000003,0.000383
1985,0.000005,0.000368
1986,0.000006,0.000379
1987,0.000005,0.000371
1988,0.000006,0.000361
1989,0.000004,0.000337
1990,0.000002,0.000325
1991,0.000000,0.000328
1992,0.000000,0.000320
1993,0.000000,0.000303
1994,0.000001,0.000250
1995,0.000000,0.000236
1996,0.000000,0.000224
1997,0.000000,0.000211
1998,0.000000,0.000200
1999,0.000000,0.000185
2000,0.000000,0.000185
2001,0.000000,0.000151
2002,0.000000,0.000156
2003,0.000000,0.000140
2004,0.000000,0.000132
2005,0.000000,0.000129
2006,0.000000,0.000127
2007,0.000000,0.000123
2008,0.000000,0.000120
2009,0.000000,0.000113
2010,0.000000,0.000109
2011,0.000000,0.000099
2012,0.000000,0.000099
2013,0.000000,0.000096
