year,Randolph (F),Randolph (M)
1880,0.000000,0.000094
1881,0.000000,0.000093
1882,0.000000,0.000068
1883,0.000000,0.000074
1884,0.000000,0.000070
1885,0.000000,0.000087
1886,0.000000,0.000086
1887,0.000000,0.000061
1888,0.000000,0.000077
1889,0.000000,0.000093
1890,0.000000,0.000070
1891,0.000000,0.000077
1892,0.000000,0.000108
1893,0.000000,0.000080
1894,0.000000,0.000071
1895,0.000000,0.000083
1896,0.000000,0.000067
1897,0.000000,0.000084
1898,0.000000,0.000087
1899,0.000000,0.000068
1900,0.000000,0.000111
1901,0.000000,0.000069
1902,0.000000,0.000088
1903,0.000000,0.000092
1904,0.000000,0.000084
1905,0.000000,0.000094
1906,0.000000,0.000105
1907,0.000000,0.000086
1908,0.000000,0.000106
1909,0.000000,0.000117
1910,0.000000,0.000110
1911,0.000000,0.000115
1912,0.000000,0.000143
1913,0.000000,0.000130
1914,0.000000,0.000136
1915,0.000000,0.000120
1916,0.000000,0.000136
1917,0.000000,0.000132
1918,0.000000,0.000114
1919,0.000000,0.000115
1920,0.000000,0.000130
1921,0.000000,0.000116
1922,0.000000,0.000124
1923,0.000000,0.000129
1924,0.000000,0.000111
1925,0.000000,0.000114
1926,0.000000,0.000122
1927,0.000000,0.000119
1928,0.000000,0.000130
1929,0.000000,0.000097
1930,0.000000,0.000121
1931,0.000000,0.000110
1932,0.000000,0.000121
1933,0.000000,0.000114
1934,0.000000,0.000125
1935,0.000000,0.000149
1936,0.000000,0.000132
1937,0.000000,0.000141
1938,0.000000,0.000148
1939,0.000000,0.000178
1940,0.000000,0.000166
1941,0.000000,0.000171
1942,0.000000,0.000196
1943,0.000002,0.000236
1944,0.000000,0.000226
1945,0.000002,0.000243
1946,0.000000,0.000261
1947,0.000000,0.000268
1948,0.000001,0.000331
1949,0.000000,0.000389
1950,0.000002,0.000442
1951,0.000001,0.000444
1952,0.000000,0.000480
1953,0.000003,0.000444
1954,0.000000,0.000443
1955,0.000000,0.000440
1956,0.000001,0.000396
1957,0.000001,0.000324
1958,0.000001,0.000286
1959,0.000002,0.000258
1960,0.000001,0.000259
1961,0.000001,0.000258
1962,0.000000,0.000243
1963,0.000002,0.000231
1964,0.000000,0.000210
1965,0.000002,0.000215
1966,0.000001,0.000215
1967,0.000000,0.000181
1968,0.000000,0.000178
1969,0.000000,0.000170
1970,0.000000,0.000158
1971,0.000001,0.000127
1972,0.000000,0.000132
1973,0.000003,0.000134
1974,0.000000,0.000126
1975,0.000000,0.000118
1976,0.000000,0.000126
1977,0.000000,0.000122
1978,0.000002,0.000109
1979,0.000000,0.000105
1980,0.000000,0.000089
1981,0.000000,0.000100
1982,0.000000,0.000090
1983,0.000000,0.000096
1984,0.000000,0.000080
1985,0.000000,0.000091
1986,0.000001,0.000073
1987,0.000000,0.000069
1988,0.000000,0.000066
1989,0.000000,0.000064
1990,0.000000,0.000057
1991,0.000000,0.000057
1992,0.000000,0.000046
1993,0.000000,0.000049
1994,0.000000,0.000038
1995,0.000000,0.000044
1996,0.000000,0.000035
1997,0.000000,0.000034
1998,0.000000,0.000029
1999,0.000000,0.000027
2000,0.000000,0.000029
2001,0.000000,0.000029
2002,0.000000,0.000028
2003,0.000000,0.000021
2004,0.000000,0.000017
2005,0.000000,0.000019
2006,0.000000,0.000019
2007,0.000000,0.000018
2008,0.000000,0.000015
2009,0.000000,0.000015
2010,0.000000,0.000013
2011,0.000000,0.000016
2012,0.000000,0.000013
2013,0.000000,0.000011
