year,Rachal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,5
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,5
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,0
1957,5
1958,0
1959,6
1960,0
1961,0
1962,9
1963,0
1964,0
1965,0
1966,10
1967,18
1968,13
1969,21
1970,21
1971,24
1972,12
1973,24
1974,25
1975,41
1976,31
1977,34
1978,34
1979,46
1980,42
1981,47
1982,55
1983,39
1984,53
1985,55
1986,59
1987,39
1988,54
1989,40
1990,51
1991,48
1992,46
1993,36
1994,33
1995,29
1996,35
1997,32
1998,20
1999,30
2000,16
2001,17
2002,17
2003,10
2004,10
2005,8
2006,0
2007,7
2008,5
2009,0
2010,0
2011,0
2012,0
