year,Rayma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,5
1913,0
1914,0
1915,7
1916,11
1917,8
1918,14
1919,0
1920,14
1921,6
1922,10
1923,20
1924,15
1925,15
1926,16
1927,11
1928,19
1929,23
1930,21
1931,16
1932,20
1933,12
1934,22
1935,20
1936,21
1937,25
1938,25
1939,22
1940,19
1941,18
1942,30
1943,29
1944,25
1945,28
1946,25
1947,45
1948,23
1949,14
1950,24
1951,19
1952,30
1953,21
1954,19
1955,17
1956,19
1957,16
1958,20
1959,17
1960,22
1961,18
1962,18
1963,10
1964,10
1965,9
1966,0
1967,0
1968,0
1969,6
1970,5
1971,9
1972,7
1973,10
1974,5
1975,0
1976,8
1977,0
1978,7
1979,0
1980,6
1981,0
1982,5
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
