year,Ramon (F),Ramon (M)
1880,0.000000,0.000045
1881,0.000000,0.000047
1882,0.000000,0.000090
1883,0.000000,0.000092
1884,0.000000,0.000053
1885,0.000000,0.000075
1886,0.000000,0.000047
1887,0.000000,0.000053
1888,0.000000,0.000087
1889,0.000000,0.000080
1890,0.000000,0.000073
1891,0.000000,0.000042
1892,0.000000,0.000036
1893,0.000000,0.000052
1894,0.000000,0.000050
1895,0.000000,0.000077
1896,0.000000,0.000053
1897,0.000000,0.000055
1898,0.000000,0.000058
1899,0.000000,0.000071
1900,0.000000,0.000102
1901,0.000000,0.000095
1902,0.000000,0.000109
1903,0.000000,0.000108
1904,0.000000,0.000094
1905,0.000000,0.000109
1906,0.000000,0.000103
1907,0.000000,0.000086
1908,0.000000,0.000133
1909,0.000000,0.000100
1910,0.000000,0.000144
1911,0.000000,0.000115
1912,0.000000,0.000118
1913,0.000000,0.000125
1914,0.000000,0.000128
1915,0.000000,0.000104
1916,0.000000,0.000117
1917,0.000000,0.000106
1918,0.000000,0.000115
1919,0.000002,0.000133
1920,0.000000,0.000169
1921,0.000000,0.000151
1922,0.000000,0.000154
1923,0.000000,0.000160
1924,0.000003,0.000195
1925,0.000000,0.000209
1926,0.000003,0.000268
1927,0.000002,0.000246
1928,0.000003,0.000303
1929,0.000004,0.000315
1930,0.000003,0.000340
1931,0.000004,0.000313
1932,0.000000,0.000304
1933,0.000000,0.000279
1934,0.000000,0.000265
1935,0.000000,0.000261
1936,0.000000,0.000232
1937,0.000004,0.000221
1938,0.000003,0.000201
1939,0.000002,0.000188
1940,0.000002,0.000190
1941,0.000000,0.000179
1942,0.000003,0.000166
1943,0.000002,0.000150
1944,0.000000,0.000171
1945,0.000000,0.000177
1946,0.000003,0.000145
1947,0.000000,0.000134
1948,0.000001,0.000143
1949,0.000002,0.000148
1950,0.000002,0.000162
1951,0.000000,0.000151
1952,0.000002,0.000153
1953,0.000002,0.000161
1954,0.000001,0.000156
1955,0.000001,0.000146
1956,0.000000,0.000156
1957,0.000000,0.000160
1958,0.000001,0.000172
1959,0.000001,0.000173
1960,0.000002,0.000186
1961,0.000002,0.000170
1962,0.000002,0.000175
1963,0.000002,0.000202
1964,0.000002,0.000196
1965,0.000002,0.000207
1966,0.000002,0.000224
1967,0.000002,0.000247
1968,0.000003,0.000243
1969,0.000003,0.000260
1970,0.000003,0.000275
1971,0.000003,0.000290
1972,0.000003,0.000319
1973,0.000003,0.000342
1974,0.000005,0.000334
1975,0.000004,0.000358
1976,0.000003,0.000325
1977,0.000004,0.000318
1978,0.000004,0.000318
1979,0.000004,0.000343
1980,0.000003,0.000332
1981,0.000002,0.000329
1982,0.000004,0.000307
1983,0.000002,0.000307
1984,0.000005,0.000292
1985,0.000002,0.000277
1986,0.000003,0.000289
1987,0.000004,0.000278
1988,0.000005,0.000269
1989,0.000002,0.000280
1990,0.000003,0.000276
1991,0.000002,0.000298
1992,0.000002,0.000301
1993,0.000002,0.000290
1994,0.000001,0.000281
1995,0.000002,0.000281
1996,0.000002,0.000273
1997,0.000002,0.000261
1998,0.000000,0.000278
1999,0.000000,0.000258
2000,0.000000,0.000236
2001,0.000000,0.000237
2002,0.000000,0.000232
2003,0.000000,0.000214
2004,0.000000,0.000216
2005,0.000000,0.000211
2006,0.000000,0.000208
2007,0.000000,0.000203
2008,0.000000,0.000182
2009,0.000000,0.000182
2010,0.000000,0.000147
2011,0.000000,0.000142
2012,0.000000,0.000146
2013,0.000000,0.000116
